№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
12,Судья,Сформированное событие рекомендация,Ознакамливается с выводами системы,Проверить отчет,—,Судья проверяет отчет системы 
13,Судья,—,—,Выводы системы верны?Эксклюзивный шлюз,—,"Если «Да», то переход к шагу 14 процесса.Если «Нет», то переход к шагу 15 процесса."
14,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
15,Система,Судья приняла решение о неверных данных,Отчет об ошибке и указание ошибок судьей,Сформировать отчет об ошибке,—,"Судья принял решение что выводы системы не корректны, она нажимает на кнопку сформировать отчет об ошибке на шаге 12 процесса и указывает ошибку. Техническая поддержка получает данные для дообучения модели и разбора случая."
16,Судья,—,Вносит данные в ручную,Внести данные в ручную,—,Судья вносит данные в ручную
17,Судья,Результаты всех проверок,—,Установлены основания для зачета госпошлины частично или полностью?Эксклюзивный шлюз,—,"Судья решает, были ли установлены в ходе проверок основания для зачета государственной пошлины. Система поддержки принятия решений на основе результатов проверокЕсли «Да», то переход к шагу 18 процесса.Если «Нет, то переход к шагу 19 процесса."
18,Судья,Решение об отсутствии оснований,—,Необходимо вынести отдельный СА?Эксклюзивный шлюз,—,"Судья решает необходимо ли вынесение отдельного судебного акта об отказе в зачете государственной пошлины. Если «Да», то переход к шагу 29 процесса.Если «Нет», то переход к шагу 25 процесса."
19,Судья,Решение об отсутствии оснований,—,Необходимо вынести отдельный СА?Эксклюзивный шлюз,—,"Судья решает необходимо ли вынесение отдельного судебного акта об отказе в зачете государственной пошлины. Если «Да», то переход к шагу 20 процесса.Если «Нет», то переход к шагу 21 процесса."
20,Судья,Решение об отсутствии оснований,Определение об отказе в удовлетворении ходатайства о зачете госпошлины,ТБП80.Принять СА,—,Судья решает вынести отдельный СА по вопросу отказа в удовлетворении ходатайства о зачете государственной пошлины. Переход к типовому процессу «Принять СА» Результатом данного типового процесса станет вынесение определения об отказе в удовлетворении ходатайства о зачете государственной пошлины. Автоматическое формирование проекта определение об отказе в удовлетворении ходатайства о зачете госпошлины
21,Система,—,Сформированная рекомендация,Сформировать рекомендацию,—,"автоматически распознаёт документ (OCR);анализирует его содержание (LLM);формирует статус («зачесть», «вернуть», «недостаточно данных»);генерирует проект судебного документа (например, «Определение о возврате госпошлины»)."
22,Система,Сформированная рекомендация,Уведомление пользователя,Уведомить пользователя,—,Система уведомляет пользователя в событии с выводом системы
23,Судья,Вывод системы,Решение пользователя,Установить отсутствие оснований для зачета,—,Судья проверяет выводы системы и устанавливает отсутствие для зачета будут указаны в ином акте
24,Судья,Решение пользователя,Сохранение данных для использования в ином СА,Отсутствие оснований для зачета будут указаны в ином САЗавершение процесса,—,Отсутствие оснований для зачета будут указаны в ином САЗавершение процесса
25,Система,—,Сформированная рекомендация,Сформировать рекомендацию,—,"автоматически распознаёт документ (OCR);анализирует его содержание (LLM);формирует статус («зачесть», «вернуть», «недостаточно данных»);генерирует проект судебного документа (например, «Определение о возврате госпошлины»)."
26,Система,Сформированная рекомендация,Уведомление пользователя,Уведомить пользователя,—,Система уведомляет пользователя в событии с выводом системы
27,Судья,Решение о наличии оснований для зачета,—,Установить основания для зачета,—,"Судья в системе фиксирует наличие правовых оснований для проведения зачета государственной пошлины, указанные выводы суда будут описаны при вынесении иного СА (например, в Определении о принятии к рассмотрению или в Определении об отказе в принятии или в другом)."
28,Судья,Данные об основаниях для зачета,—,Основания для зачета будут указаны в ином САЗавершение процесса,—,"Завершение процесса с указанием, что информация об основаниях для зачета будет отражена в другом судебном акте."
29,Судья,Решение об отсутствии оснований,Определение об отказе в удовлетворении ходатайства о зачете госпошлины,ТБП80.Принять СА,—,Судья решает вынести отдельный СА по вопросу отказа в удовлетворении ходатайства о зачете государственной пошлины. Переход к типовому процессу «Принять СА» Результатом данного типового процесса станет вынесение определения об отказе в удовлетворении ходатайства о зачете государственной пошлины. Автоматическое формирование проекта определения об отказе
30,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
31,Канцелярия,Определение о полном или частичном зачете госпошлины,—,ТБП46.Направить документ,—,После подписания судьёй определения по результатам рассмотрения заявления о зачете государственной пошлины канцелярия суда организует направление копии этого документа истцу/заявителю в соответствии с положениями инструкции по судебному производству № 100. Переход к типовому процессу «Направить документ». Результатом данного типового процесса станет направление определения о зачете или отказе в зачете заявителю/истцу. Автоматическое направление документа через электронные каналы связи
32,Канцелярия,Документы для отправки,Отправлены документы,СА отправлен.Завершение процесса,—,Судебный акт отправлен.Завершение процесса
33,Истец/Заявитель,Определение суда,—,Получено определение,—,Истец/заявитель получает определение суда о зачете государственной пошлины или об отказе в зачете.
34,Система,Входящие документы ,Уведомление пользователя,Уведомить пользователя,"",Автоматическое уведомление о поступлении определения
35,Истец/Заявитель,Определение по зачету госпошлины,—,Ознакомиться,—,Истец/заявитель изучает содержание полученного определения суда по вопросу зачета государственной пошлины.
36,Система,Данные о дате и времени получения и прочтения,Отправка данных в систему арбитражного суда,Записать и отправить дату и время доставки и уведомления,—,Система отправляет данные о дате и времени получения и прочтения.Контроль процессуальных сроков → система автоматически запускает отсчёт от даты подтверждения доставки документа и шлёт напоминания.
37,Истец/Заявитель,—,—,Есть основания для обжалования?Эксклюзивный шлюз,—,"Истец/заявитель решает, необходимо ли ему обжаловать полученное определение.Если «Да», то переход к шагу 38 процесса.Если «Нет», то переход к шагу 39 процесса."
38,Истец/Заявитель,—,—,Переход к апелляционному обжалованию,—,Истец/заявитель инициирует процесс апелляционного обжалования определения суда. Завершение процесса провести зачет госпошлины.
39,Истец/Заявитель,—,—,Нет оснований для обжалования.Завершение процесса,—,Нет оснований для обжалования.Завершение процесса
