№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,Арбитражный управляющий,—,—,Возникла необходимость привлечь КДЛ к субсидиарной ответственности,—,Арбитражный управляющий принимает решение о необходимости привлечь КДЛ к субсидиарной ответственности
11,Арбитражный управляющий,—,—,Проверить право на подачу заявления и процедуру,—,Арбитражный управляющий проверяет свое право на подачу заявления
12,Арбитражный управляющий,—,—,Проверка пройдена?,—,"Арбитражный управляющий определяет, пройдена ли проверка праваДа: переход к шагу 14Нет: переход к шагу 13"
13,Арбитражный управляющий,—,—,Ограничена подача в связи с отсутствием права,—,Ограничена подача в связи с отсутствием права
14,Арбитражный управляющий,—,Заявление о привлечении к субсидиарной ответственности КДЛ,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает Заявление о привлечении к субсидиарной ответственности КДЛ должника в соответствии со ст. 61.16 ФЗ ""О несостоятельности (банкротстве)"""
15,Арбитражный управляющий,—,—,Документ подан,—,Документ подан
16,Канцелярия,Заявление о привлечении к субсидиарной ответственности КДЛ,—,Поступило заявление,—,Суд получает Заявление о привлечении к субсидиарной ответственности КДЛ от кредитора
17,Канцелярия,Заявление о привлечении к субсидиарной ответственности КДЛ,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ"
18,Судья,Зарегистрированный документ,Определение о принятии к производствуОпределение об отказе в принятииОпределение о возвращении заявления,ТБП31.Рассмотреть вопрос о принятии,5 дней с даты поступления заявления,"Судья рассматривает вопрос о принятии заявления к производству. Переход к типовому процессу ""Рассмотреть вопрос о принятии"". По смыслу ст. 127 АПК РФ Арбитражный суд обязан принять к производству исковое заявление, поданное с соблюдением требований, предъявляемых к его форме и содержанию. Данный вопрос решается судьей единолично в течение 5 дней с момента поступления заявления"
19,Судья,Судебный акт по вопросу о принятии,—,Заявление принято к рассмотрению?,—,"Судья определяет, принято ли заявление к рассмотрениюДа: переход к шагу 79Нет: переход к шагу 20"
20,Судья,—,—,Ожидать завершения производства по делу о банкротстве,—,Судья ожидает завершения производства по делу о банкротстве
21,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,—,"Переход к типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
22,Судья,—,—,Заявление не принято к производству передано в архив,—,Заявление не принято к производству передано в архив
23,Арбитражный управляющий,—,—,Получено уведомление о принятии,—,Арбитражный управляющий получает уведомление о принятии заявления к производству
24,Арбитражный управляющий,—,—,Ознакомиться с материалами дела в ЛК,—,Арбитражный управляющий знакомится с материалами дела в личном кабинете
25,Арбитражный управляющий,—,—,Необходимо подать отзыв?,—,"Арбитражный управляющий определяет, необходимо ли подать отзыв на заявлениеДа: переход к шагу 27Нет: переход к шагу 26"
26,Арбитражный управляющий,—,—,Лицо ознакомлено,—,Лицо ознакомлено
27,Арбитражный управляющий,—,Отзыв на заявление,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает отзыв на заявление"
28,Система,—,—,Ограничить подачу,—,Система ограничивает подачу
29,Арбитражный управляющий,—,—,Ограничена подача в связи с истечением срока,—,Ограничена подача в связи с истечением срока
30,Арбитражный управляющий,—,—,Документ подан,—,Документ подан
31,Контролирующее должника лицо (КДЛ),—,—,Получено уведомление о принятии,—,Контролирующее должника лицо получает уведомление о принятии заявления к производству
32,Контролирующее должника лицо (КДЛ),—,—,Ознакомиться с материалами дела в ЛК,—,Контролирующее должника лицо знакомится с материалами дела в личном кабинете
33,Контролирующее должника лицо (КДЛ),—,—,Необходимо подать отзыв?,—,"Контролирующее должника лицо определяет, необходимо ли подать отзыв на заявлениеДа: переход к шагу 35Нет: переход к шагу 34"
34,Контролирующее должника лицо (КДЛ),—,—,Лицо ознакомлено,—,Лицо ознакомлено
35,Контролирующее должника лицо (КДЛ),—,Отзыв на заявление,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Контролирующее должника лицо формирует и подает отзыв на заявление"
36,Система,—,—,Ограничить подачу,—,Система ограничивает подачу
37,Контролирующее должника лицо (КДЛ),—,—,Ограничена подача в связи с истечением срока,—,Ограничена подача в связи с истечением срока
38,Контролирующее должника лицо (КДЛ),—,—,Документ подан,—,Документ подан
39,Иные ЛУВД,—,—,Получено уведомление о принятии,—,Иные ЛУВД получают уведомление о принятии заявления к производству
40,Иные ЛУВД,—,—,Ознакомиться с материалами дела в ЛК,—,Иные ЛУВД знакомятся с материалами дела в личном кабинете
41,Иные ЛУВД,—,—,Необходимо подать отзыв?,—,"Иные ЛУВД определяют, необходимо ли подать отзыв на заявлениеДа: переход к шагу 43Нет: переход к шагу 42"
42,Иные ЛУВД,—,—,Лицо ознакомлено,—,Лицо ознакомлено
43,Иные ЛУВД,—,Отзыв на заявление,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Иные ЛУВД формируют и подают отзыв на заявление"
44,Система,—,—,Ограничить подачу,—,Система ограничивает подачу
45,Иные ЛУВД,—,—,Ограничена подача в связи с истечением срока,—,Ограничена подача в связи с истечением срока
46,Иные ЛУВД,—,—,Документ подан,—,Документ подан
47,Канцелярия,Отзывы на заявление,—,Поступили документы по делу,—,Канцелярия получает отзывы на Заявление о привлечении к субсидиарной ответственности КДЛ
48,Канцелярия,Отзывы на заявление,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении документов в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ"
49,Арбитражный управляющий,—,—,Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
50,Арбитражный управляющий,—,Ходатайство о рассмотрении дела в отсутствие,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает ходатайство о рассмотрении дела в свое отсутствие"
51,Арбитражный управляющий,—,—,Документ подан,—,Документ подан
52,Арбитражный управляющий,—,—,Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
53,Арбитражный управляющий,—,Ходатайство о рассмотрении дела в отсутствие,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает ходатайство о рассмотрении дела в свое отсутствие"
54,Арбитражный управляющий,—,—,Документ подан,—,Документ подан
55,Арбитражный управляющий,—,—,Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
56,Арбитражный управляющий,—,Ходатайство о рассмотрении дела в отсутствие,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает ходатайство о рассмотрении дела в свое отсутствие"
57,Арбитражный управляющий,—,—,Документ подан,—,Документ подан
58,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)"
59,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,Ходатайство о рассмотрении дела в отсутствие,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Кредитор формирует и подает ходатайство о рассмотрении дела в свое отсутствие"
60,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Документ подан,—,Документ подан
64,Канцелярия,Ходатайство об ознакомлении,—,Поступил документ по делу,—,Канцелярия получает ходатайство об ознакомлении с материалами дела
65,Канцелярия,Ходатайство об ознакомлении,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении ходатайства в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ"
66,Канцелярия,—,—,Документ зарегистрирован,—,Документ зарегистрирован
73,Арбитражный управляющий,—,—,Возникла необходимость привлечь к участию третьих лиц,—,Арбитражный управляющий принимает решение о необходимости привлечения третьих лиц к участию в деле
74,Арбитражный управляющий,—,Ходатайство о привлечении третьих лиц,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает ходатайство о привлечении третьих лиц к участию в деле"
75,Арбитражный управляющий,—,—,Документ подан,—,Документ подан
76,Суд,Ходатайство о привлечении третьих лиц,—,Возникла необходимость привлечь третьих лиц к участию в деле,—,Суд получает ходатайство о привлечении третьих лиц к участию в деле
77,Судья,Ходатайство о привлечении третьих лиц,Определение о привлечении третьих лицОпределение об отказе в привлечении третьих лиц,ТБП116.Рассмотреть вопрос об изменении состава ЛУВД,—,"Переход к типовому процессу ""Рассмотреть вопрос об изменении состава ЛУВД"". Судья рассматривает ходатайство о привлечении третьих лиц к участию в деле и принимает соответствующее процессуальное решение"
78,Судья,—,—,Рассмотрен вопрос об изменении состава ЛУВД,—,Рассмотрен вопрос об изменении состава ЛУВД
79,Помощник судьи,Материалы дела,Подготовленные материалы к СЗ,ТБП66.Подготовиться к СЗ,"Четкий срок не установлен. Подготовка дела к судебному разбирательству проводится в срок, определяемый судьей с учетом обстоятельств конкретного дела и необходимости совершения соответствующих процессуальных действий","Переход к типовому процессу ""Подготовиться к СЗ"". В ходе подготовки к СЗ помощник судьи будет проверять: извещены ли стороны о судебном заседании, будет собирать поступающие отзывы/возражения по делу, будет проведен предварительный анализ поступивших документов, ответов на запросы (если они были направлены), будет проверять был ли предоставлен доступ к ознакомлению с делом электронно всем сторонам и другие вопросы, подлежащие выяснению в рамках подготовки к проведению судебного заседания"
80,Судья,—,"Определение о назначении СЗ, протокол",ТБП68.Провести СЗ,В разумный срок,"Переход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья проводит СЗ для рассмотрения заявления о привлечении к субсидиарной ответственности. О времени и месте судебного заседания арбитражный суд извещает лиц, участвующих в деле, и других участников арбитражного процесса. Судья в процессе судебного заседания совершает действия, регламентированные ст. 153 АПК РФ"
81,Судья,—,—,Возникла необходимость в замене судьи,—,Судья принимает решение о необходимости замены
82,Судья,—,Определение о замене судьи,ТБП28.Заменить судью,—,"Судья принимает решение о замене судьи. Согласно ст 18 АПК в случае замены судьи, арбитражного заседателя в процессе рассмотрения дела судебное разбирательство должно быть произведено с самого начала"
83,Судья,—,—,Произведена замена судьи,—,Произведена замена судьи
84,Судья,—,—,Требуется приостановить производство по заявлению?,—,Определяется требуется ли приостановить производство по заявлениюДа: переход к шагу 85Нет: переход к шагу 86
85,Судья,"Ходатайство о приостановлении, материалы дела",Определение о приостановленииОпределение об отказе о приостановленииОпределение о восстановлении производства,ТБП63.Рассмотреть вопрос о приостановлении,—,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"". В результате ТП Судья рассматривает ходатайство о приостановлении производства по делу, анализирует представленные материалы и принимает соответствующее процессуальное решение"
86,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз для координации процесса
87,Судья,—,—,Требуется ли объединить ОС в одно производство?,—,Определяется требуется ли объединить ОС в одно производствоДа: переход к шагу 88Нет: переход к шагу 91
88,Судья,Заявление об объединении дел в одно производство,Определение об объединении дел в одно производствоОпределение об отказе в удовлетворении заявления об объединении дел в одно производство,ТБП60.Рассмотреть вопрос об объединении дел,—,"Переход к типовому процессу ""Рассмотреть вопрос об объединении дел"". В результате ТП Судья рассматривает целесообразность и основание для объединения нескольких дел в одно производство. Вопрос об объединении дел проводится согласно ст 130 АПК. После объединения дел в одно производство или выделения требований в отдельное производство рассмотрение дела производится с самого начала"
89,Судья,Заявление об объединении дел в одно производство,—,Данный ОС продолжает рассматриваться?,—,Определяется продолжает ли рассматриваться данное заявлениеДа: переход к шагу 95Нет: переход к шагу 90
90,Судья,—,—,Обособленный спор объединен,—,Обособленный спор объединен
91,Судья,—,—,Требуется ли выделить требования в отдельное производство?,—,Определяется требуется ли выделить требования в отдельное производствоДа: переход к шагу 92Нет: переход к шагу 95
92,Судья,Заявление о выделении требования в отдельное производство,"Определение о выделении требований в отдельное производство, новое зарегистрированное дело",ТБП61.Рассмотреть вопрос о разъединении дел,—,"Переход к типовому процессу ""Рассмотреть вопрос о разъединении дел"". В результате ТП Судья рассматривает целесообразность и основание для выделения требования в отдельное производство. Вопрос о разъединении дел проводится согласно ст 130 АПК. После объединения дел в одно производство или выделения требований в отдельное производство рассмотрение дела производится с самого начала"
93,Судья,—,—,Параллельный шлюз,—,Параллельный шлюз для координации процесса
94,Судья,—,—,Выделенное дело передано на распределение,—,Выделенное дело передано на распределение
95,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз для координации процесса
96,Судья,—,—,"Переход в ТП ""Переход к новому рассмотрению в зависимости от процесса""",—,"Переход в ТП ""Переход к новому рассмотрению в зависимости от процесса"""
97,Судья,—,—,ТБП7.Подать документы в суд,—,Создать новое рассмотрение
98,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз для координации процесса
99,Судья,—,—,ТБП142.Сформировать правовую позицию по делу,—,Судья формирует правовую позицию по делу
100,Судья,—,—,Чем завершается рассмотрение?,—,Определяется чем завершается рассмотрениеДа: переход к шагу 101Нет: переход к шагу 102
101,Судья,—,Определение о передаче дела по подсудности,ТБП65.Передать дело по подсудности,—,"Переход к типовому процессу ""Передать дело по подсудности"". Правила подсудности регулируются ст. 39 АПК РФ"
102,Судья,—,Определение об оставлении искового заявления без рассмотрения,ТБП110.Рассмотреть вопрос об оставлении без рассмотрения,—,"Переход к типовому процессу ""Рассмотреть вопрос об оставлении без рассмотрения"" В результате этого ТП Судья принимает решение об оставлении заявления без рассмотрения"
103,Судья,—,Определение о прекращении производства,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Рассмотреть вопрос о прекращении производства по заявлению"" В результате этого ТП Судья принимает решение о прекращении производства"
104,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз для координации процесса
105,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,—,"Переход к типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
106,Судья,—,—,ТБП7.Подать документы в суд,—,Обособленный спор завершен передан в архив
107,Судья,—,—,ТБП140.Рассмотреть по существу,—,"Переход к типовому процессу ""Рассмотреть по существу"". В результате данного ТП судья рассматривает дело по существу"
108,Судья,—,—,Заявление удовлетворено?,—,"Судья определяет, удовлетворено ли заявлениеДа: переход к шагу 109Нет: переход к шагу 114"
109,Судья,—,—,Для установления размера субсидиарной ответственности требуется приостановить производство по делу?,—,Определяется требуется ли приостановить производство по делу для установления размера субсидиарной ответственностиДа: переход к шагу 110Нет: переход к шагу 113
110,Судья,"Ходатайство о приостановлении, материалы дела",Определение о приостановленииОпределение об отказе о приостановленииОпределение о восстановлении производства,ТБП63.Рассмотреть вопрос о приостановлении,—,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"". В результате ТП Судья рассматривает ходатайство о приостановлении производства по делу, анализирует представленные материалы и принимает соответствующее процессуальное решение"
111,Судья,—,—,ТБП142.Сформировать правовую позицию по делу,—,Судья формирует правовую позицию по делу
112,Судья,—,—,ТБП140.Рассмотреть по существу,—,"Переход к типовому процессу ""Рассмотреть по существу"". В результате данного ТП судья рассматривает дело по существу"
113,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз для координации процесса
114,Судья,—,Определение о привлечении к субсидиарной ответственности,ТБП80.Принять СА,3 месяца с даты поступления заявления,"Переход к типовому процессу ""Принять СА"". В результате этого ТП Судья принимает судебный акт Определение о привлечении к субсидиарной ответственности"
115,Контролирующее должника лицо (КДЛ),—,—,Получено уведомление по вопросу о привлечении к субсидиарной ответственности,—,Контролирующее должника лицо получает уведомление по вопросу о привлечении к субсидиарной ответственности
116,Контролирующее должника лицо (КДЛ),—,—,Ознакомиться,—,Контролирующее должника лицо знакомится с материалами дела
117,Контролирующее должника лицо (КДЛ),—,—,Есть ли основание для обжалования?,—,"Контролирующее должника лицо определяет, есть ли основания для обжалованияДа: переход к шагу 118Нет: переход к шагу 119"
118,Контролирующее должника лицо (КДЛ),—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
119,Контролирующее должника лицо (КДЛ),—,—,Лицо ознакомлено,—,Лицо ознакомлено
120,Контролирующее должника лицо (КДЛ),—,—,Получено уведомление по вопросу о привлечении к субсидиарной ответственности,—,Контролирующее должника лицо получает уведомление по вопросу о привлечении к субсидиарной ответственности
121,Контролирующее должника лицо (КДЛ),—,—,Ознакомиться,—,Контролирующее должника лицо знакомится с материалами дела
122,Контролирующее должника лицо (КДЛ),—,—,Есть ли основание для обжалования?,—,"Контролирующее должника лицо определяет, есть ли основания для обжалованияДа: переход к шагу 123Нет: переход к шагу 125"
123,Контролирующее должника лицо (КДЛ),—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
124,Контролирующее должника лицо (КДЛ),—,—,Требуется ли исполнить добровольно?,—,Определяется требуется ли исполнить добровольноДа: переход к шагу 126Нет: переход к шагу 125
125,Контролирующее должника лицо (КДЛ),—,—,Лицо ознакомлено,—,Лицо ознакомлено
126,Контролирующее должника лицо (КДЛ),—,—,Исполнить СА,—,Контролирующее должника лицо исполняет судебный акт
127,Контролирующее должника лицо (КДЛ),—,—,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Контролирующее должника лицо подает документы в суд"
128,Контролирующее должника лицо (КДЛ),—,—,Документ подан,—,Документ подан
129,Арбитражный управляющий,—,—,Получено уведомление по вопросу о привлечении к субсидиарной ответственности,—,Арбитражный управляющий получает уведомление по вопросу о привлечении к субсидиарной ответственности
130,Арбитражный управляющий,—,—,Ознакомиться,—,Арбитражный управляющий знакомится с материалами дела
131,Арбитражный управляющий,—,—,Есть ли основание для обжалования?,—,"Арбитражный управляющий определяет, есть ли основания для обжалованияДа: переход к шагу 132Нет: переход к шагу 134"
132,Арбитражный управляющий,—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
133,Арбитражный управляющий,—,—,Требуется ли заявление для исполнения СА?,—,Определяется требуется ли подать заявление для исполнения САДа: переход к шагу 141Нет: переход к шагу 134
134,Арбитражный управляющий,—,—,Лицо ознакомлено,—,Лицо ознакомлено
135,Контролирующее должника лицо (КДЛ),—,—,Получено уведомление по вопросу о привлечении к субсидиарной ответственности,—,Контролирующее должника лицо получает уведомление по вопросу о привлечении к субсидиарной ответственности
136,Контролирующее должника лицо (КДЛ),—,—,Ознакомиться,—,Контролирующее должника лицо знакомится с материалами дела
137,Контролирующее должника лицо (КДЛ),—,—,Есть ли основание для обжалования?,—,"Контролирующее должника лицо определяет, есть ли основания для обжалованияДа: переход к шагу 138Нет: переход к шагу 139"
138,Контролирующее должника лицо (КДЛ),—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
139,Контролирующее должника лицо (КДЛ),—,—,Лицо ознакомлено,—,Лицо ознакомлено
140,Судья,—,—,Ожидать вступления в законную силу,—,Судья ожидает вступления в законную силу судебного акта
141,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,Заявление о выдаче исполнительного листа,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Кредитор формирует и подает заявление о выдаче исполнительного листа"
142,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Документ подан,—,Документ подан
143,Судья,—,—,Получено уведомление о начале исполнительного производства,—,Судья получает уведомление о начале исполнительного производства
144,Судья,—,Отчет о результатах способа распоряжения,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Судья подает отчет о результатах способа распоряжения"
145,Судья,—,—,Требуется ли заявление для исполнения СА?,—,Определяется требуется ли подать заявление для исполнения САДа: переход к шагу 147Нет: переход к шагу 146
146,Судья,—,—,Документ подан,—,Документ подан
147,Судья,—,Заявление о выдаче ИЛ,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Судья подает заявление о выдаче исполнительного листа"
148,Судья,—,—,Документ подан,—,Документ подан
149,Контролирующее должника лицо (КДЛ),—,—,Получено уведомление о начале исполнительного производства,—,Контролирующее должника лицо получает уведомление о начале исполнительного производства
150,Контролирующее должника лицо (КДЛ),—,—,Требуется ли заявить ходатайства связанные с исполнительным производством?,—,Определяется требуется ли заявить ходатайства связанные с исполнительным производствоДа: переход к шагу 152Нет: переход к шагу 151
151,Контролирующее должника лицо (КДЛ),—,—,Лицо ознакомлено,—,Лицо ознакомлено
152,Контролирующее должника лицо (КДЛ),—,Ходатайства по вопросам исполнительного производства,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Контролирующее должника лицо подает ходатайства по вопросам исполнительного производства"
153,Контролирующее должника лицо (КДЛ),—,—,"Переход к процессу разрешение вопросов, связанных с исполнением судебного акта",—,"Переход к процессу разрешение вопросов, связанных с исполнением судебного акта"
154,Канцелярия,Отзывы на заявление,—,Поступили документы по делу,—,Канцелярия получает отзывы на Заявление о привлечении к субсидиарной ответственности КДЛ
155,Канцелярия,Отзывы на заявление,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу ""Принять входящий документ"". При поступлении документов в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ"
156,Судья,—,—,ТБП91.Обратить СА к исполнению,—,"Переход к типовому процессу ""Обратить СА к исполнению"". Судья обращает судебный акт к исполнению"
157,Судья,—,Определение о привлечении к субсидиарной ответственности,ТБП80.Принять СА,3 месяца с даты поступления заявления,"Переход к типовому процессу ""Принять СА"". В результате этого ТП Судья принимает судебный акт Определение о привлечении к субсидиарной ответственности"
158,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки"
159,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Кредитор формирует и подает заявление об исправлении описок/опечаток"
160,"Кредитор (конкурсные кредиторы, представитель работников должника, работники или бывшие работники должника, уполномоченные органы)",—,—,Документ подан,—,Документ подан
161,Контролирующее должника лицо (КДЛ),—,—,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки"
162,Контролирующее должника лицо (КДЛ),—,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Контролирующее должника лицо формирует и подает заявление об исправлении описок/опечаток"
163,Контролирующее должника лицо (КДЛ),—,—,Документ подан,—,Документ подан
164,Арбитражный управляющий,—,—,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки"
165,Арбитражный управляющий,—,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"". Арбитражный управляющий формирует и подает заявление об исправлении описок/опечаток"
166,Арбитражный управляющий,—,—,Документ подан,—,Документ подан
167,Контролирующее должника лицо (КДЛ),—,—,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки"
