№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
22,Система,Материалы дела,Результат проверки уведомления,Проверить уведомление проигравшей стороны,—,"Система проверяет, была ли сторона, против которой вынесено решение, не была должным образом уведомлена о назначении третейского судьи или о третейском разбирательстве, в том числе о времени и месте заседания третейского суда, либо по другим уважительным причинам не могла представить в третейский суд свои объяснения"
23,Система,Материалы дела,Результат проверки соответствия третейского соглашения праву,Проверить соответствие спора третейскому соглашению,—,"Система проверяет, было ли третейское соглашение, на основании которого спор был разрешен третейским судом, недействительно по праву, которому стороны его подчинили, а при отсутствии такого указания по праву РФ."
24,Судья,Результат проверки соответствия третейского соглашения праву,—,"Выявлено, что решение не предусмотрено третейским соглашением/не подпадает под его условия/содержит вопросы, выходящие за пределы третейского соглашения? Эксклюзивный шлюз",—,"Выявлено, что решение не предусмотрено третейским соглашением/не подпадает под его условия/содержит вопросы, выходящие за пределы третейского соглашения?Да: переход к шагу 25 Нет: переход к шагу 29"
25,Судья,Результат проверки соответствия третейского соглашения праву,Возможность признания части решения установлена,"Есть постановление по вопросам, охватываемым третейским соглашением, которые могут быть отделены?Эксклюзивный шлюз",—,"Есть постановление по вопросам, охватываемым третейским соглашением, которые могут быть отделены?Да: переход к шагу 26 Нет: переход к шагу 28"
26,Судья,Результат проверки соответствия третейского соглашения праву,Возможность признания части решения установлена,Установить возможность признания части решения,—,"Судья устанавливает возможность признания части решения третейского суда, которая соответствует третейскому соглашению"
27,Судья,Результат проверки соответствия третейского соглашения праву,Отказ в признании оставшейся части решения,Отказать в признании несоответствующей части,—,"Судья отказывает в признании части решения третейского суда, которая не соответствует третейскому соглашению"
28,Судья,—,—,Эксклюзивный шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 25-го, 27-го шага"
29,Судья,—,—,Эксклюзивный шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 24-го, 28-го шага"
30,Система,Материалы дела,Результат проверки состава третейского суда,Проверить состав третейского суда,—,"Система формирует позицию по вопросу об отказе, если состав третейского суда не соответствовали соглашению сторон или федеральному закону."
31,Система,Материалы дела,Результат проверки процедуры арбитража,Проверить процедуру арбитража,—,"Система формирует позицию по вопросу об отказе, если процедура арбитража не соответствовали соглашению сторон или федеральному закону."
32,Судья,—,—,Параллельный закрывающий шлюз,—,"Параллельный закрывающий шлюз, объединяющий потоки из 20-го, 21-го, 22-го, 29-го, 30-го, 31-го шага"
33,Судья,—,—,Эксклюзивный шлюз,—,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 18-го, 32-го шага"
34,Судья,Результаты проведенных проверок ,—,"Системой найдены основания, в соответствии с которыми суд может отменить решение третейского суда?",—,"Системой найдены основания, в соответствии с которыми суд может отменить решение третейского суда?Да: переход к шагу 35 Нет: переход к шагу 37"
35,Система,Результаты проведенных проверок ,Сохранение результатов в деле,Сохранить основания для отмены решения,—,"Система сохраняет результаты проверок, выводы и финальную позицию по вопросу об отмене решения третейского суда"
36,Судья,—,—,Системой найдены основания для отмены,—,Завершение процесса. Системой найдены основания для отмены
37,Система,Результаты проведенных проверок ,Сохранение результатов в деле,Сохранить отсутствие оснований для отмены решения,—,"Система сохраняет результаты проверок, выводы и финальную позицию по вопросу об отмене решения третейского суда"
38,Судья,—,—,Системой не найдены основания для отмены,—,Завершение процесса. Системой не найдены основания для отмены.
