№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,Суд (судья),—,Определение о наложении судебного штрафа,ТБП80.Принять СА,—,"Переход к процессу «Принять СА». В результате данного процесса судья выносит определение о наложении судебного штрафа.Определение о наложении судебного штрафа приводится в исполнение немедленно, исполнительный лист направляется арбитражным судом судебному приставу-исполнителю по месту жительства или адресу лица, на которое наложен судебный штраф.Может быть обжаловано в десятидневный срок со дня получения лицом. Автогенерация проекта определения"
11,Суд (судья),—,Определение о наложении судебного штрафа,ТБП80.Принять СА,—,"Переход к процессу «Принять СА». В результате данного процесса судья выносит определение о наложении судебного штрафа.Определение о наложении судебного штрафа приводится в исполнение немедленно, исполнительный лист направляется арбитражным судом судебному приставу-исполнителю по месту жительства или адресу лица, на которое наложен судебный штраф.Может быть обжаловано в десятидневный срок со дня получения лицом. Автогенерация проекта определения"
12,Суд (судья),—,—,Эксклюзивный шлюз,—,Эксклюзивный закрывающий шлюз
13,Суд (судья),—,—,Суд считает необходимым наложить судебный штраф?Эксклюзивный шлюз,—,"Основаниями для наложения штрафа являются, в частности:- невыполнение требований арбитражного суда представить в арбитражный суд заключение эксперта в установленный срок (часть 6 статьи 55 АПК РФ);- неисполнение обязанности представить истребуемое судом доказательство по неуважительным причинам (часть 9 статьи 66 АПК РФ);- неизвещение суда о невозможности представления доказательства вообще или в установленный срок (часть 9 статьи 66 АПК РФ);- повторное невыполнение требований арбитражного суда представить доказательства (часть 10 статьи 66 АПК РФ);- неисполнение определения об обеспечении иска лицом, на которое суд возложил обязанность исполнить обеспечительные меры (часть 2 статьи 96 АПК РФ);- неуважение к арбитражному суду (часть 5 статьи 119 АПК РФ);- нарушение порядка в судебном заседании или неподчинение законным распоряжениям председательствующего (часть 5 статьи 154 АПК РФ);- неявка в судебное заседание лица, участвующего в деле, явка которого в соответствии с АПК РФ признана обязательной арбитражным судом (часть 4 статьи 156, часть 3 статьи 194, часть 3 статьи 200, часть 4 статьи 205, часть 3 статьи 210, часть 3 статьи 215 АПК РФ);- неявка в суд по неуважительным причинам в судебное заседание эксперта, свидетеля или переводчика (часть 2 статьи 157 АПК РФ);- непредставление либо несвоевременное представление объяснений, возражений и (или) доводов в установленный срок органом, организацией, должностным лицом, которые не исполнили судебный акт в разумный срок (часть 3 статьи 222.8 АПК РФ);- неисполнение лицом обязанности уведомить о возбуждении производства по делу, предмете и об основаниях заявленных в арбитражный суд требований и иных обстоятельствах спора других участников (часть 4 статьи 225.4 АПК РФ);- неисполнение лицом, обратившимся в арбитражный суд с заявлением об обеспечении иска, обязанности по уведомлению лиц, участвующих в деле, о времени и месте рассмотрения заявления об обеспечении иска (часть 10 статьи 225.6 АПК РФ);- злоупотребление лицом, которое обратилось в арбитражный суд по делу о защите прав и законных интересов группы лиц, своими процессуальными правами (часть 3 статьи 225.12 АПК РФ);- утрата виновным лицом переданного ему на исполнение исполнительного листа, которое выдал арбитражный суд (статья 331 АПК РФ);- неисполнение судебного акта арбитражного суда органами государственной власти, иными организациями, должностными лицами и гражданами (часть 1 статьи 332 АПК РФ);- неисполнение действий, указанных в исполнительном листе, лицом, на которое возложено совершение этих действий (часть 2 статьи 332 АПК РФ).Если «да» - переход к шагу 14, если «нет» - к шагу 16."
14,Система,—,Запись в протоколе СЗ,Занести в протокол наложение штрафа,—,Система используя ASR распознает речь и формирует протокол СЗ. Помощник контролирует и валидирует процесс ведения протокола системой
15,Суд (судья),—,Определение о наложении судебного штрафа,Переход к шагу номер 10. Принять СА,—,"Переход к процессу «Принять СА». В результате данного процесса судья выносит определение о наложении судебного штрафа.Определение о наложении судебного штрафа приводится в исполнение немедленно, исполнительный лист направляется арбитражным судом судебному приставу-исполнителю по месту жительства или адресу лица, на которое наложен судебный штраф.Может быть обжаловано в десятидневный срок со дня получения лицом."
16,Система,—,Запись в протоколе СЗ,Занести в протокол отказ в наложении штрафа,—,Система используя ASR распознает речь и формирует протокол СЗ. Помощник контролирует и валидирует процесс ведения протокола системой
17,Суд (судья),—,Определение о наложении судебного штрафа,Переход к шагу номер 11. Принять СА,—,"Переход к процессу «Принять СА». В результате данного процесса судья выносит определение о наложении судебного штрафа.Определение о наложении судебного штрафа приводится в исполнение немедленно, исполнительный лист направляется арбитражным судом судебному приставу-исполнителю по месту жительства или адресу лица, на которое наложен судебный штраф.Может быть обжаловано в десятидневный срок со дня получения лицом."
18,Суд (судья),—,—,Параллельный шлюз,—,Параллельный шлюз
19,Суд (канцелярия),—,Определение о наложении судебного штрафаОпределение об отказе в наложении судебного штрафа (в зависимости от принятого решения),ТБП46.Направить документ,—,"Переход к типовому процессу «Направить документ», в рамках которого канцелярия вручает копии определения лицу/организации, на которое наложен судебный штраф, лично (по итогам СЗ).Автоформирование сопроводительного письма, контроль адресатов"
20,Канцелярия,—,—,Судебные акты отправлены.,—,Документ отправлен. Завершение процесса
21,Система,Новые документы,Уведомление пользователю,Получить уведомление о вынесении определения о штрафе,—,Система уведомляет пользователя о новых документах
22,"Лицо/организация, на которое наложен штраф",Определение о наложении судебного штрафаОпределение об отказе в наложении судебного штрафа (в зависимости от принятого решения),—,Ознакомиться в ЛК,—,Лицо знакомится с судебным актом в личном кабинете. Умные напоминания о сроках оплаты/обжалования
23,Система,Дата и время ознакомления с документом,Данные отправлены в систему арбитражного суда,Отправить время ознакомления,—,Система отправляет данные о дате и времени ознакомления в систему арбитражного суда для сохранения данных и запуска процесса расчета процессуальных сроков.
24,"Лицо/организация, на которое наложен штраф",—,—,Параллельный шлюз,—,Параллельный шлюз
25,"Лицо/организация, на которое наложен штраф",—,—,Есть основания для обжалования?Эксклюзивный шлюз,—,Определение может быть обжаловано в десятидневный срок со дня получения.Подсказки по основаниям и сроку обжалования Если «Да» переход к шагу 26; если «Нет» - к шагу 27
26,"Лицо/организация, на которое наложен штраф",—,—,"Лицо ознакомлено с СА, оснаваний для обжалования нет.",—,Завершение процесса
27,"Лицо/организация, на которое наложен штраф",—,—,Переход к процессу обжалования,Срок обжалования: 10 дней с момента получения,Переход к процессу обжалования.Контроль срока обжалования. Срок для обжалования - 10 дней с момента получения определения
28,"Лицо/организация, на которое наложен штраф",—,—,Оплатить добровольно?Эксклюзивный шлюз,—,"Лицо может оплатить судебный штраф добровольно, не дожидаясь принудительного исполнения.Напоминание о реквизитах оплатыЕсли «Да» - переход к шагу 31; если «Нет» - к шагу 29"
29,"Лицо/организация, на которое наложен штраф",—,—,Ожидать принудительного исполнения,—,Лицо ожидает принудительного исполнения.Напоминания и уведомления о рисках
30,"Лицо/организация, на которое наложен штраф",—,—,Завершение процесса,—,Завершение процесса
31,"Лицо/организация, на которое наложен штраф",—,—,Оплатить самостоятельно,—,"Лицо оплачивает штраф добровольно на депозит суда на сумму, указанную в СА. в личном кабинете и подтверждает отправку в суд. Памятка с реквизитами и квитанцией "
32,Система,"Платежный документ, метаданные по судебному делу",Данные отправлены в систему арбитражного суда,Направить уведомление об оплате,—,Система после подтверждения банком оплаты отправляет данные в систему арбитражного суда.
33,"Лицо/организация, на которое наложен штраф",—,—,Завершение процесса,—,Завершение процесса
34,Суд (канцелярия),"Документ, подтверждающий оплату штрафа",—,Получен документ,—,Система арбитражного суда создает номенклатурное дело с платежным подтверждением и создает связи с делом/номенклатурным делом.
35,Суд (канцелярия),"Документ, подтверждающий оплату штрафа","Зарегистрированный Документ, подтверждающий оплату штрафа",ТБП53.Принять входящий документ,—,"Переход к ТП «Принять входящий документ», в рамках которого канцелярия выполняет все необходимые действия для регистрации документа в системе. Шаблоны регистрационных карточек, контроль сроков регистрации"
36,Суд (судья),—,—,Вынесено определении о наложении судебного штрафа?,—,Если «Да» - переход к шагу 38; Если «Нет» - к шагу 37
37,Суд (судья),—,—,Завершение процесса,—,Завершение процесса
38,Суд (судья),—,—,Эксклюзивный шлюз,"",Эксклюзивный закрывающий шлюз
39,Суд (судья),Определение о наложении судебного штрафа,—,ТБП91.Обратить СА к исполнению,—,"Переход к типовому процессу «Обратить судебный акт к исполнению», в рамках которого проводится выдача исполнительного листа и прочие процессуальные действия по исполнению определения.Шаблон поручения/отметка о направлении к исполнению"
40,Суд (судья),—,—,Завершение процесса,—,Завершение процесса
