№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание),Предложения по автоматизации шага процесса
69,Судья,Заявление об ускорении рассмотрения дела,Мотивированное определение об ускорении рассмотрения дела,Рассмотреть вопрос об ускорении,5 дней,"Переход к типовому процессу ""Рассмотреть вопрос об ускорении"". В результате данного ТП Судья рассматривает заявление об ускорении рассмотрения дела.Согласно ч.7 ст 6.1 АПК По результатам рассмотрения заявления председатель арбитражного суда выносит мотивированное определение, в котором может быть установлен срок проведения судебного заседания по делу и (или) могут быть указаны действия, которые следует совершить для ускорения рассмотрения дела",—
70,Судья,"","",Вопрос об ускорении дела рассмотрен судом,—,Завершение процесса,""
72,Судья,"","",ТБП113.Рассмотреть вопрос о признании иностранного решения,1 месяц со дня  поступления заявления в арбитражный суд субъекта Российской Федерации,"Переход к типовому процессу ""Рассмотреть вопрос о признании иностранного решения"". В результате данного ТП судья рассматривает вопрос о признании и приведении в исполнение иностранного решения. Согласно ч.1 ст. 243 АПК РФ Заявление о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения рассматривается судьей единолично по правилам рассмотрения дела арбитражным судом первой инстанции с учетом особенностей, установленных настоящей главой, в срок, не превышающий одного месяца со дня его поступления в арбитражный суд субъекта Российской Федерации. Согласно ч.3 ст.243 АПК РФ При рассмотрении дела арбитражный суд в судебном заседании устанавливает наличие или отсутствие оснований для признания и приведения в исполнение решения иностранного суда и иностранного арбитражного решения, предусмотренных статьей 244 АПК РФ, путем исследования представленных в арбитражный суд доказательств, обоснования заявленных требований и возражений, а также разъяснений иностранного суда или третейского суда, принявших решение, если арбитражный суд истребует такие разъяснения. При этом суд не вправе пересматривать решение иностранного суда по существу.",""
73,Судья,"",Определение арбитражного суда по делу о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения,ТБП80.Принять СА,1 месяц со дня  поступления заявления в арбитражный суд субъекта Российской Федерации,"Переход к типовому процессу ""Принять СА"". В результате данного ТП судья принимает решение и выносит Определение арбитражного суда по делу о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения. Согласно ч.1 ст. 245 АПК РФ арбитражный суд выносит определение по правилам, установленным в главе 20 АПК РФ для принятия решения. К содержанию определения предъявляются требования согласно ч.2 ст. 245 АПК РФ.",""
74,Судья,"","",Параллельный шлюз,"","Параллельный шлюз для координации потоков, переход к шагу 75, 95",""
75,Помощник судьи,"","",ТБП46.Направить документ, 5 дней со дня принятия/электронный документ публикация не позднее следующего дня после дня его принятия,"Переход к Типовому процессу «Направить документ». Результатом этого процесса будет направление помощником судьи сторонам копии решения суда. Согласно положениям ст. 177 АПК решение, выполненное в форме электронного документа, направляется лицам, участвующим в деле, посредством его размещения в установленном порядке в информационно-телекоммуникационной сети ""Интернет"" в режиме ограниченного доступа не позднее следующего дня после дня его принятия. По ходатайству указанных лиц копии решения на бумажном носителе могут быть направлены им в пятидневный срок со дня поступления соответствующего ходатайства в арбитражный суд заказным письмом с уведомлением о вручении или вручены им под расписку.",""
76,Помощник судьи,"","",Судебные акты отправлены.,"",Завершение процесса,""
77,Взыскатель,"", ,Получено определение арбитражного суда по делу о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения, ,Взыскатель получает определение арбитражного суда по делу о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения,""
78,Взыскатель, , ,Ознакомиться, ,Взыскатель знакомится с определением арбитражного суда по делу о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения,""
79,Взыскатель, , ,Есть ли основание для обжалования?Эксклюзивный шлюз, ,"Взыскатель определяет, есть ли основания для обжалованияДа: переход к шагу 80Нет: переход к шагу 81Согласно ч.3 ст. 245 АПК РФ Определение арбитражного суда по делу о признании решения иностранного суда или иностранного арбитражного решения и приведении его в исполнение может быть обжаловано в кассационном порядке в арбитражный суд округа в течение одного месяца со дня вынесения определения",""
80,Взыскатель, , ,Переход к процессу кассационного обжалования,"",Переход к процессу кассационного обжалования,""
81,Взыскатель, , ,Ожидать исполнение,"",Ожидать исполнение,""
82,Взыскатель,"","",Завершение процесса,"",Завершение процесса,""
83,Должник,"", ,Получено определение арбитражного суда по делу о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения, ,Должник получает определение арбитражного суда по делу о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения,""
84,Взыскатель, , ,Ознакомиться, ,Должник знакомится с определением арбитражного суда по делу о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения,""
