№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
12,Система,Запись телефонограммы,Транскрибированные данные и запись данных в систему,Предоставить  данные о телефонограмме,—,"Система после транскрибирования записывает данные о дате извещения и записывает аудио и транскрибацию в номенклатурную карточку, добавление уведомления пользователя о полученных результатах и записи статуса уведомления участника"
13,Помощник судьи/Секретарь судебного заседания суда,Транскрибированные данные и запись данных в систему,Сохранение/проверка данных,Проверить составление телефонограммы,—,Пользователь изучает данные и сохраняет данные в системе
14,Система,Данные о телеграмме в оцифрованном виде,Запись в номенклатурное дело,Предоставить  данные о телеграмме с отметкой оператора связи,—,"Данные о телеграмме и отметка поступают по интеграционному каналу, и записываются в номенклатурное дело по конкретному участнику"
15,Помощник судьи/Секретарь судебного заседания суда,Оцифрованная копия телеграммы,Сохранение данных,Проверить копию телеграммы с отметкой оператора связи,—,"Если участнику процесса была направлена телеграмма, то помощник судьи/секретарь судебного заседания суда проверяет наличие копии телеграммы с отметкой оператора связи о приеме к передаче. Интеграция с операторами связи для автоматического получения подтверждений"
16,Помощник судьи/Секретарь судебного заседания суда,—,—,Закрывающий параллельный шлюз,—,Закрывающий параллельный шлюз для шагов 2-9-11-13-15 процесса
17,Система,—,Список участников процесса,Сформировать список,—,Система формирует список участников процесса и каждому назначает согласно документов варианты уведомлений.
18,Помощник судьи/Секретарь судебного заседания суда,Статус у одного или нескольких участников не определен или отрицательный,—,Есть не извещенные(Эксклюзивный шлюз),—, Эксклюзивный шлюз. Есть не извещенные
19,Система,Список не извещенных,Проставление статуса по не извещенным,Внести в список сведения о неизвещенных,—,Система отмечает не извещенных участников соответствующим статусом с уведомлением пользователя при приближении/наступлении процессуального срока
20,Помощник судьи/Секретарь судебного заседания суда,—,—,Закрывающий шлюз,—,Закрывающий шлюз шага 18 процесса
21,Система,Входящие данные о статусах извещений участников,Сохраненные данные в системе,Сохранить данные,—,Система сохраняет данные о сведениях о извещенных и неизвещенных участников процесса
22,Система,Рассчитанная дата для уведомления пользователя согласно процессуального состояния,Уведомление пользователя заблаговременно до наступления процессуального срока согласно процесса,Уведомить пользователя о наступлении срока,—,"Система рассчитывает дату ознакомления для уведомления пользователя и готовности статусов участников,"
23,Помощник судьи/Секретарь судебного заседания суда,Список участников с необходимыми отметками,—,Доложить судье статус извещения участников?(Эксклюзивный шлюз),—,"Помощник судьи/Секретарь судебного заседания суда принимает решение: необходимо ли доложить информацию о результатах проведенных проверок надлежащего извещения судье?Если «Да», то переход к шагу 25 процесса.Если «Нет», то переход к шагу 24 процесса."
24,Помощник судьи/Секретарь судебного заседания суда,Список участников с необходимыми отметками,—,Конец процесса,—,Конец процесса 
25,Помощник судьи/Секретарь судебного заседания суда,Список участников с необходимыми отметками,—,Доложить судье статус,—,"Помощник судьи/Секретарь судебного заседания суда принимает решение: необходимо ли доложить информацию о результатах проведенных проверок надлежащего извещения судье. Система позволяет нажать кнопку ""Данные проверок надлежащего извещения верны"" формируется события для извещения судьи"
26,Судья,Сведения о статусе извещения участников процесса,—,Получить сведения о статусе извещения,—,"Судья получает и анализирует сведения о статусе извещения участников процесса в системе, в каждом документе формируется список ЛУВД для ознакомления, у каждого участника есть способ извещения со статусом"
 27,Система,Сведения о статусе извещения участников процесса,"",Сформировать рекомендацию,—,Система на основе полученных данных о надлежащем извещении и процессуальных сроков создает событие для судьи с рекомендацией по дальнейшим действиям.
28,Судья,Сведения о статусе извещения участников процесса,—,Участники извещены надлежащим образом?,—,"Судья, согласно сведениям об извещении, представленным помощником судьи/секретарем СЗ, принимает решение о том, извещены ли участники процесса надлежащим образом.Если «Да» переход к шагу 31 процесса.Если «Нет» переход к шагу 29 процесса."
29,Судья,—,—,Признать извещение ненадлежащим,—,Судья суда в системе принимает решение о признании извещения участников или участника процесса ненадлежащим и отмечает соответствующим статусом. Триггер на статусы создает задачу для помощника суда для повторного уведомления
30 ,Судья,—,—,Завершающее событие.,—,Судья суда принимает решение о признании извещения участников процесса ненадлежащим.
31,Судья,—,—,Признать извещение надлежащим,—,Судья суда в системе принимает решение о признании извещения участников или участника процесса надлежащим и отмечает соответствующим статусом. Триггер на статусы создает задачу для помощника суда для повторного уведомления
32,Судья,—,—,Завершающее событие.,"",Завершение процесса контроля надлежащего уведомления с признанием извещения участников процесса надлежащим.
