№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,Система,Материалы дела,Результат проверки тождественности решению третейского суда,Проверить тождественность решению третейского суда,-,Система проверяет тождественность дела известным решениям третейского суда. 
11,Судья,-,-,Найдено тождественное решение?Эксклюзивный шлюз,-,"Найдено тождественное решение третейского суда?Если «Да», то переход к шагу 12 процесса.Если «Нет», то переход к шагу 13 процесса."
12,Судья,-,-,АС отменил указанное решение?,-,"Если да, то переход к шагу 13. Если нет, то переход к шагу 12"
13,Судья,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 11-го и 12-го элемента.
14,Судья,Результат проверки тождественности решению третейского суда,Установлено исключение (нет оснований для прекращения),Установить отсутствие оснований для прекращения,-,"Судья подтверждает, что дело является исключением и основания для прекращения, ввиду установления тождественности - нет.Если АС отказал в выдаче исполнительного листа на принудительное исполнение решения третейского суда либо если арбитражный суд отменил указанное решение, то несмотря на тождественность отказать в принятии нельзя."
15,Судья,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 13-го и 14-го элемента.
16,Система,Материалы дела,Результат проверки наличия факта отказа истца от иска,Проверить отказ истца от иска,-,"Система проверяет факт отказа от иска и принятие отказа судом.Согласно ч. 2 ст. 49 АПК РФ, истец вправе до принятия судебного акта, которым заканчивается рассмотрение дела по существу в арбитражном суде первой инстанции или в арбитражном суде апелляционной инстанции, отказаться от иска полностью или частично. Одним из оснований прекращения производства по делу, согласно п. 4 ч. 1 ст. 150 АПК РФ, является отказ истца от иска.Согласно ч. 5 ст. 49 АПК РФ, Арбитражный суд не принимает отказ истца от иска, если это противоречит закону или нарушает права других лиц. В этих случаях суд рассматривает дело по существу."
17,Судья,-,-,Отказ принят АС?Эксклюзивный шлюз,-,"Отказ принят АС?Если «Да», то переход к шагу 18 процесса.Если «Нет», то переход к шагу 19 процесса."
18,Система,Результат проверки наличия факта отказа истца от иска,Установлено обстоятельство для прекращения. ,Установить обстоятельства для прекращения,-,Система устанавливает обстоятельства для прекращения ввиду отказа истца от иска.
19,Судья,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 17-го и 18-го элемента.
20,Система,Материалы делаПоиск через Федресурс и ЕГРЮЛ,Результат проверки факта ликвидации организации,Проверить факт ликвидации организации,-,"Система проверяет факт ликвидации организации, являющейся стороной по делу. Используется интеграция с Федресурсом и ЕГРЮЛ.Согласно п. 5 ч. 1 ст. 150 АПК РФ арбитражный суд прекращает производство по делу, если организация, являющаяся стороной в деле, ликвидирована."
21,Система,Материалы делаНаправление запроса в ЗАГС ,Подтвержденный факт смерти,Проверить факт смерти ЛУВД,-,"Система проверяет факт смерти ЛУВД и возможность правоприемства.Согласно п. 6 ч. 1 ст. 150 АПК РФ, арбитражный суд прекращает производство по делу, если после смерти гражданина, являющегося стороной в деле, спорное правоотношение не допускает правопреемства."
22,Судья,-,-,Факт смерти установлен?Эксклюзивный шлюз,-,"Факт смерти установлен?Если «Да», то переход к шагу 23 процесса.Если «Нет», то переход к шагу 26 процесса."
23,Судья,-,-,Спорное правоотношение допускает правопреемства?Эксклюзивный шлюз,-,"Допускает ли правоотношение правопреемство (передачу прав от умершего ЛУВД правопреемнику).Если «Да», то переход к шагу 25 процесса.Если «Нет», то переход к шагу 24 процесса."
24,Система,Подтвержденный факт смерти,-,Установить обстоятельства для прекращения,-,Система устанавливает обстоятельства для прекращения ввиду отказа истца от иска.
25,Система,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 23-го и 24-го элемента.
26,Система,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 22-го и 25-го элемента.
27,Система,Материалы дела,Результат проверки наличия мирового соглашения,Проверить наличие мирового соглашения,-,Система проверяет наличие заключенного между сторонами мирового соглашения.Согласно ст. 139 АПК РФ мировое соглашение может быть заключено сторонами на любой стадии арбитражного процесса и при исполнении судебного акта. Утверждение мирового соглашения — это одно из оснований прекращения производства по делу (ч. 2 ст. 150 АПК РФ). 
28,Судья,Мировое соглашение,Результат проверки законности мирового соглашения,Проверить мировое соглашение на законность,-,"Судья проверяет мировое соглашение сторон на соответствие закону.Согласно ч. 6 ст. 141 АПК РФ арбитражный суд не утверждает мировое соглашение, если оно противоречит закону или нарушает права и законные интересы других лиц."
29,Судья,Мировое соглашение,Результат проверки отсутствия нарушений прав третьих лиц в мировом соглашении,Проверить отсутствие нарушения прав третьих лиц,-,"Судья проверяет, не нарушает ли права и законные интересы других лиц заключенное мировое соглашение."
30,Судья,Результат проверки законности мирового соглашенияРезультат проверки отсутствия нарушений прав третьих лиц в мировом соглашении,-,Мировое соглашение можно утвердить?Эксклюзивный шлюз,-,"Судья проверяет, можно ли утвердить мировое соглашение по результатам предыдущих двух проверок.Если «Да», то переход к шагу 32 процесса.Если «Нет», то переход к шагу 31 процесса."
31,Судья,-,-,"Переход в основной процесс к шагу ""Провести СЗ""",-,"Завершение процесса. Переход в основной процесс к шагу ""Провести СЗ"""
32,Судья,Мировое соглашение,Утвержденное судом мировое соглашение,Утвердить мировое соглашение,-,Судья утверждает мировое соглашение. Утверждение мирового соглашение является основанием для прекращения производства по делу.
33,Система,Утвержденное судом мировое соглашение,Установлено обстоятельство для прекращения,Установить обстоятельства для прекращения,-,Система устанавливает обстоятельства для прекращения ввиду утверждения судьей мирового соглашения.
34,Система,Запуск полного анализа по вопросу о прекращении производства Маршрут проверок,-,Производство по делу о компенсации?Эксклюзивный шлюз,-,"Является ли производство по делу — производством о компенсации.Статья 222.1. АПК РФ: Лицо, полагающее, что государственным органом, органом местного самоуправления, иным органом, организацией, должностным лицом нарушено его право на судопроизводство в разумный срок или право на исполнение судебного акта в разумный срок, вправе обратиться в арбитражный суд с заявлением о присуждении компенсации. Если «Да», то переход к шагу 35 процесса.Если «Нет», то переход к шагу 39 процесса."
35,Система,Материалы дела и поиск по общей базе судебных актов в системе,Результат проверки отмены СА,"Проверить отсутствие отмены СА, послужившего основанием",-,"Система проверяет факт отмены СА, послужившего основанием для подачи заявление о компенсации.Заявление о компенсации может быть принято только в том случае, если СА не был отменен. В противном случае судья прекращает производство по делу."
36,Система,Результат проверки отмены СА,-,СА отменен?Эксклюзивный шлюз,-,"СА отменен?Если «Да», то переход к шагу 37 процесса.Если «Нет», то переход к шагу 38 процесса."
37,Система,Результат проверки отмены СА,Установлено обстоятельство для прекращения,Установить обстоятельства для прекращения,-,"Система устанавливает обстоятельства для прекращения ввиду отмены СА, послужившего основание для подачи заявления о компенсации."
38,Система,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 36-го и 37-го элемента.
39,Система,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 34-го и 38-го элемента.
40,Система,Материалы дела,Результат проверки наличия медиативного соглашения,Проверить наличие медиативного соглашения,-,"Система проверяет наличие медиативного соглашения между сторонами. По аналогии с мировым, утвержденное медиативное соглашение является основанием для прекращения производства по делу."
41,Система,Медиативное соглашение,Результат проверки отсутствия нарушений процедуры медиации,Проверить отсутствие нарушений процедуры медиации,-,"Система проверяет, не была ли процедура медиации совершена с нарушениями требований закона."
42,Судья,Медиативное соглашение,Результат проверки законности,Проверить медиативное соглашение на законность,-,Судья проверяет соответствие медиативного соглашения законодательству.
43,Судья,Мировое соглашение,Результат проверки отсутствия нарушений прав третьих лиц,Проверить отсутствие нарушения прав третьих лиц,-,"Судья проверяет, не нарушает ли права и законные интересы других лиц заключенное мировое соглашение."
44,Судья,Результат проверки законностиРезультат проверки отсутствия нарушений прав третьих лицРезультат проверки отсутствия нарушений процедуры медиации,-,Медиативное соглашение можно утвердить?Эксклюзивный шлюз,-,"По итогам предыдущих трех проверок судья решает, можно ли утвердить медиативное соглашение.Если «Да», то переход к шагу 46 процесса.Если «Нет», то переход к шагу 45 процесса."
45,Судья,-,-,"Переход в основной процесс к шагу ""Провести СЗ""",-,"Завершение процесса. Переход в основной процесс к шагу ""Провести СЗ"""
46,Судья,Медиативное соглашение,"Медиативное соглашение, утвержденное судом",Утвердить медиативное соглашение,-,Судья утверждает медиативное соглашение. Утверждение медиативного соглашения является основанием для прекращения производства по делу.
47,Система,"Медиативное соглашение, утвержденное судом",Установлено обстоятельство для прекращения,Установить обстоятельства для прекращения,-,Система устанавливает обстоятельства для прекращения ввиду утверждения судьей медиативного соглашения.
48,Система,Материалы дела,Результат проверки наличие соглашения о примирении,Проверить наличие соглашения о примирении,-,"Система проверяет наличие соглашения о примирении между сторонами. По аналогии с мировым и медиативным, утвержденное соглашение о примирении является основанием для прекращения производства по делу."
49,Судья,Соглашение о примирении,Результат проверки законности,Проверить соглашение о примирении на законность,-,Судья проверяет соответствие соглашения о примирении законодательству.
50,Судья,Соглашение о примирении,Результат проверки отсутствия нарушений прав третьих лиц,Проверить отсутствие нарушения прав третьих лиц,-,"Судья проверяет, не нарушает ли права и законные интересы других лиц заключенное соглашение о примирении."
51,Судья,Соглашение о примирении,Результат проверки отсутствия нарушений судебного примирения,Проверить отсутствие нарушений судебного примирения,-,"Судья проверяет, не были ли нарушены правила, установленные законом, в ходе процесса судебного примирения."
52,Судья,"Результаты проверок отсутствия нарушений судебного примирения, нарушений прав третьих лиц, законности",-,Соглашение о примирении можно утвердить?,-,"Судья решает, можно ли утвердить соглашение о примирении, на основании предыдущих трех проверок.Если «Да», то переход к шагу 54 процесса.Если «Нет», то переход к шагу 53 процесса."
53,Судья,-,-,"Переход в основной процесс к шагу ""Провести СЗ""",-,"Завершение процесса. Переход в основной процесс к шагу ""Провести СЗ"""
54,Судья,Соглашение о примирении,"Соглашение о примирении, утвержденное судом",Утвердить соглашение о примирении,-,Судья утверждает соглашение о примирении. Утверждение соглашение о примирении является основанием для прекращения производства по делу.
55,Система,"Соглашение о примирении, утвержденное судом",Установлено обстоятельство для прекращения,Установить обстоятельства для прекращения,-,Судья устанавливает обстоятельства для прекращения ввиду утверждения судьей соглашения о примирении. 
56,Судья,Материалы дела,Результат проверки иных обстоятельств,Проверить иные обстоятельства,-,"Судья проверяет иные обстоятельства, предусмотренные законом, для проверки наличия оснований для прекращения производства по делу."
57,Система,-,-,Объединяющий шлюз,-,"Закрывающий параллельный шлюз для объединения потоков из веток, идущих по 3-му, 4-му, 10-му, 16-му, 20-му, 21-му, 27-му, 34-му, 40-му, 48-му, 56-му шагу. "
58,Система,Результаты проверок,Отчет по проверкам,Сформировать отчет по проверкам,-,"Система предоставляет судье результаты проведенных проверок, выводы и рекомендации, сформированные в форме отчета. "
59,Система,Отчет по проверкам,Отчет по проверкам (подтвержденный),Проверить выводы системы,-,"Переход в типовой процесс ""Проверить выводы системы"" (ТБП 139). Пользователь проверяет Отчет по проверкам и имеет возможность внести в него коррективы. Дальнейшие действия системы основываются на подтверждении выводов судьей."
60,Судья,Отчет по проверкам (подтвержденный),Принятое решение,Принять решение по вопросу,-,Судье принимает решение по вопросу о прекращении производства по делу.
61,Судья,Принятое решение,-,Установлены основания для прекращения?Эксклюзивный шлюз,-,"Установлены основания для прекращения?Если «Да», то переход к шагу 64 процесса.Если «Нет», то переход к шагу 62 процесса."
62,Система,Принятое решение,Установлено отсутствие обстоятельств для прекращения,Установить отсутствие обстоятельств для прекращения,-,Система устанавливает отсутствие обстоятельств для прекращения дела на основе принятого судьей решения. Выводы судьи и результаты проверок сохраняются в деле. 
63,Система,-,-,Обстоятельства для прекращения производства по делу не найдены,-,Завершение процесса. Обстоятельства для прекращения производства по делу не найдены.
64,Система,Принятое решениеМатериалы дела,Установлены  обстоятельства для прекращения ,Установить обстоятельства для прекращения,-,Система устанавливает обстоятельства для прекращения дела на основе принятого судьей решения. Выводы судьи и результаты проверок сохраняются в деле. Система проверяет необходимость возврата гос. пошлины и распределения судебных расходов.Согласно ч. 1 ст. 151 АПК РФ в определении арбитражный суд разрешает вопросы о возврате государственной пошлины из федерального бюджета и распределении между сторонами судебных расходов. 
65,Система,Установлены  обстоятельства для прекращения ,-,Нужно провести возврат госпошлины?Эксклюзивный шлюз,-,"Нужно провести возврат госпошлины?Если «Да», то переход к шагу 66 процесса.Если «Нет», то переход к шагу 67 процесса."
66,Судья,Установлены  обстоятельства для прекращения ,Решение по возврату госпошлины,Провести возврат госпошлины,-,"Переход к ТП ""Провести возврат госпошлины"" (ТБП41) Судья решает, нужно ли проводить возврат госпошлины в связи с прекращением производства по настоящему делу.Согласно ч. 1 ст. 151 АПК РФ в определении арбитражный суд разрешает вопросы о возврате государственной пошлины из федерального бюджета."
67,Система,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 65-го и 66-го элемента.
68,Система,Установлены  обстоятельства для прекращения ,-,Необходимо распределить судебные расходы?Эксклюзивный шлюз,-,"Необходимо распределить судебные расходы?Если «Да», то переход к шагу 69 процесса.Если «Нет», то переход к шагу 70 процесса."
69,Судья,Установлены  обстоятельства для прекращения ,Решение о распределении судебных расходов,Взыскать/распределить судебные расходы,-,"Переход к типовому процессу ""Взыскать/распределить судебные расходы"" (ТБП 72).Итогом процесса является решение о распределении судебных расходов между сторонами по делу. "
70,Система,-,-,Объединяющий шлюз,-,Шлюз для соединения потоков из 68-го и 69-го элемента.
71,Судья,Материалы дела,Результат проверки полноты рассмотрения документов,Контроль полноты рассмотрения ходатайств и заявлений,-,"Переход к типовому процессу ""Контроль полноты рассмотрения ходатайств и заявлений"" (ТБП17). В рамках процесса осуществляется проверка факта полного рассмотрения всех ходатайств и заявлений, поступивших от лиц."
72,Судья,Принятое решение,Определение о прекращении производства по делу,Принять СА,-,"Переход к типовому процессу ""Принять СА"" (ТБП 85).Согласно ч. 1 ст. 151 АПК РФ о прекращении производства по делу арбитражный суд выносит определение. В определении арбитражный суд указывает основания для прекращения производства по делу, а также разрешает вопросы о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 1 статьи 150 настоящего Кодекса, и распределении между сторонами судебных расходов.В рамках процесса судья формирует и подписывает определение о прекращении производства по делу."
73,Судья,-,-,Вынесено и опубликовано Определение о прекращении производства по делу,-,Завершение процесса. По делу вынесено и опубликовано Определение о прекращении производства.
