№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
26,Система,—,—,Уведомить о периоде доступности электронных материалов дела,—,Система автоматически уведомляет ЛУВД/Иных лиц о периоде доступности электронных материалов дела.
27,ЛУВД/Иные лица,—,—,Ожидать окончания периода ознакомления,—,ЛУВД/Иные лица ожидают окончания периода ознакомления.
28,ЛУВД/Иные лица,—,—,Уведомление о периоде доступности электронных материалов дела,—,ЛУВД/Иные лица получают уведомление о периоде доступности электронных материалов дела.
29,Система,—,—,Предоставить доступ на период согласно шагу 4.,—,Система автоматически предоставляет доступ к электронным материалам дела на указанный период.
30,ЛУВД/Иные лица,—,—,Ознакомиться с делом,—,ЛУВД/Иные лица знакомятся с материалами дела в электронном виде.
31,ЛУВД/Иные лица,—,—,Поставить отметку об ознакомлении материалами дела,—,ЛУВД/Иные лица ставят отметку об ознакомлении с материалами дела.
32,Система,Отметка об ознакомлении,Данные об окончании ознакомления,Направить данные об окончании ознакомления,—,Система автоматически направляет данные об окончании ознакомления в учетную систему.
33,ЛУВД/Иные лица,—,—,Лицо ознакомилось с деломЗавершение процесса,—,Завершение процесса ознакомления с делом для заявителя.
34,Система,—,—,Сделать запись об ознакомлении с делом,—,Система автоматически делает запись об ознакомлении с делом в учетной системе.
35,Система,—,—,Дело из архива? Эксклюзивный шлюз,—,"Система проверяет, было ли дело возвращено из архива. Если «Да», то переход к шагу 36 процесса. Если «Нет», то переход к шагу 40 процесса."
36,Система,—,—,Уведомить об окончании ознакомления,—,Система автоматически уведомляет об окончании ознакомления с архивным делом.
37,Ответственный за ознакомление,—,—,Закрыть задачу на ознакомление,—,Ответственный за ознакомление закрывает задачу на ознакомление с архивным делом.
38,Ответственный за ознакомление,—,—,ТБП89.Передать дело в архив,—,"Переход к типовому процессу ""Передать дело в архив"". Ответственный за ознакомление передает дело обратно в архив после ознакомления."
39,Ответственный за ознакомление,—,—,"Дело снова имеет статус ""Архив""",—,Завершение процесса. Дело возвращено в архив после ознакомления.
40,Система,—,—,Ограничить доступ к электронному делу,—,Система автоматически ограничивает доступ к электронному делу после завершения периода ознакомления.
41,Система,—,—,Внести запись с данными об ознакомлении в дело,—,Система автоматически вносит запись с данными об ознакомлении в электронное дело.
42,Система,—,—,Уведомить об окончании ознакомления,—,Система автоматически уведомляет об окончании ознакомления с электронным делом.
43,Помощник судьи,Уведомить об окончании ознакомления,"Закрытие задачи переводом в статус ""Выполнено""",Закрыть задачу на ознакомление,—,Помощник судьи закрывает задачу на ознакомление с электронным делом.
44,Помощник судьи,—,—,Ознакомление с делом завершеноЗавершение процесса,—,Завершение процесса ознакомления с делом для суда.
