№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
34,Судья суда кассационной инстанции,—,—,Требуется ли прекратить производство по делу? Эксклюзивный шлюз,—,Судья - председательствующий кассационной инстанции принимает решение о необходимости прекращения производства. Переход к шагу 45
35,Иные ЛУВД,Определение о принятии КЖ,—,Получено определение о принятии КЖ,—,"Лица участвующие в деле получили определение о принятии КЖК ЛУВД в силу части 3 статьи 16 и статьи 42 АПК относятся лица, о правах и об обязанностях которых принят судебный акт. Они вправе его обжаловать в порядке кассационного производства в случае, если судебным актом затрагиваются их права и обязанности"
36,Иные ЛУВД, , ,Ознакомиться с материалами дела в ЛК, ,Иные ЛУВД знакомится с материалами дела в ЛК
37,Иные ЛУВД,Отзыв на КЖ,Определение о принятии отзыва на КЖ,Необходимо подать отзыв на КЖ?Эксклюзивный шлюз,"Отзыв направляется в срок, обеспечивающий возможность ознакомления с отзывом до начала судебного заседания","К отзыву предъявляются требования по форме и содержанию согласно ст 279 АПК. Согласно ч.1 статьи ЛУВД направляет отзыв на кассационную жалобу с приложением документов, подтверждающих возражения относительно жалобы, другим лицам, участвующим в деле, и в арбитражный суд.К отзыву, направляемому в арбитражный суд, прилагается также документ, подтверждающий направление отзыва другим лицам, участвующим в делеДа: переход к шагу 39Нет: переход к шагу 38"
38,Иные ЛУВД,—,—,Лицо ознакомлено,"",Лицо ознакомлено
39,Иные ЛУВД,"",Отзыв на КЖ,ТБП7.Подать документы в суд,Срок установленный в определении о принятии,"Переход к типовому процессу ""Подать документы в суд"" Результатом этапа является отзыв на КЖВ соответствии со статьей 279 АПК РФ лицо, участвующее в деле, направляет отзыв на кассационную жалобу с приложением документов, подтверждающих (обосновывающих) возражения по жалобе, другим лицам, участвующим в деле, и в суд в срок, обеспечивающий возможность ознакомления с отзывом до начала судебного заседания. Суд кассационной инстанции вправе установить срок для представления отзыва на кассационную жалобу, указав на это в определении. Непредставление отзыва на кассационную жалобу не препятствует ее рассмотрению."
40,Иные ЛУВД,—,—,Документ подан,"",Документ подан
41,Система,"","",Ограничить подачу,"",Система ограничивает подачу
42 ,Система,"","",Подача ограничена в связи с истечением срока,"",Подача ограничена в связи с истечением срока
43,Судья суда кассационной инстанции,"","","Переход в ТП ""Переход к новому рассмотрению в зависимости от процесса""","","Переход в ТП ""Переход к новому рассмотрению в зависимости от процесса"""
44,Судья суда кассационной инстанции,"","",Создать новое рассмотрение,"","Переход к типовому процессу ""Создать новое рассмотрение"". В результате данного ТП Судья суда кассационной инстанции создает новое рассмотрение дела.Система проводить автоматические проверки, анализирует материалы дела и судебную практику, формирует отчет для судьи.Внутри данного процесса ТП ""Оценить доказательства по делу""Судья формирует правовую позицию по делу (будет ли рассматривать дело по существу, прекратит, передаст по подсудности)"
45,Судья суда кассационной инстанции,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 75"
46,Судья суда кассационной инстанции,"","",ТБП142.Сформировать правовую позицию по делу,"","Переход к типовому процессу ""Сформировать правовую позицию по делу"". В результате данного ТП Судья суда кассационной инстанции формирует правовую позицию по делу. Система проводить автоматические проверки, анализирует материалы дела и судебную практику, формирует отчет для судьи.Внутри данного процесса ТП ""Оценить доказательства по делу""Судья формирует правовую позицию по делу (будет ли рассматривать дело по существу, прекратит, передаст по подсудности)"
47,Судья суда кассационной инстанции,"","",Чем завершается рассмотрение?Эксклюзивный шлюз,"","Определяется чем завершается рассмотрение, переход к шагам 48-50"
48,Судья суда кассационной инстанции,"",Определение о передаче дела по подсудности,ТБП65.Передать дело по подсудности,"","Переход к типовому процессу ""Передать дело по подсудности"". Правила подсудности регулируются ст. 39 АПК РФ. Согласно ч.1 данной статьи дело, принятое арбитражным судом к своему производству с соблюдением правил подсудности, должно быть рассмотрено им по существу, хотя бы в дальнейшем оно стало подсудным другому суду. Передача дела по подсудности регулируется ч.2 ст 39. В результате данного ТП дело передается по подсудности о передаче дела по подсудности выносится определение, которое может быть обжаловано в арбитражный суд апелляционной инстанции в десятидневный срок со дня его вынесения."
49,Судья суда кассационной инстанции,"",Определение о прекращении производства по кассационной жалобе,ТБП109.Рассмотреть вопрос о прекращении производства по делу,—,"Переход к типовому процессу ""Рассмотреть вопрос о прекращении"". В результате данного ТП Судья суда кассационной инстанции рассматривает вопрос о прекращении производства.Согласно ст. 282 АПК РФ Арбитражный суд кассационной инстанции прекращает производство по кассационной жалобе, если после принятия кассационной жалобы к производству суда от лица, ее подавшего, поступило ходатайство об отказе от кассационной жалобы и отказ принят судом в соответствии со статьей 49 (получение и утверждение Документ по итогам примирительной процедуры (Мировое соглашение, соглашение о примирении, соглашение по фактическим обстоятельствам))О прекращении производства по кассационной жалобе арбитражный суд выносит определение. В определении могут быть разрешены вопросы о распределении между сторонами судебных расходов, о возврате государственной пошлины из федерального бюджета. Копии определения о прекращении производства по кассационной жалобе направляются лицам, участвующим в деле.В случае прекращения производства по кассационной жалобе повторное обращение того же лица по тем же основаниям в арбитражный суд с кассационной жалобой не допускается. Определение может быть обжаловано."
50,Судья суда кассационной инстанции,—,—,Проверить соответствие выводов обстоятельствам,"",Судья суда кассационной инстанции проверяет соответствие выводов фактическим обстоятельствам
51,Судья суда кассационной инстанции,—,—,Проверить законность СА,"","Судья суда кассационной инстанции проверяет законность судебного актаКак следует из частей 1 и 3 статьи 286 Кодекса, суд кассационной инстанции при проверке законности судебных актов, принятых судами первой и апелляционной инстанций, устанавливает правильность применения норм материального права и норм процессуального права, а также проверяет соответствие выводов судов первой и апелляционной инстанций о применении нормы права установленным ими по делу обстоятельствам и имеющимся в деле доказательствам, исходя из доводов, содержащихся в кассационной жалобе и возражениях относительно жалобы"
52,Судья суда кассационной инстанции,—,—,ТБП117.Рассмотреть КЖ на СП,3 месяца со дня поступления КЖ на СП,"Переход к типовому процессу ""Рассмотреть КЖ на СП"". Судья суда кассационной инстанции рассматривает кассационную жалобу на судебный приказ. Согласно ч.5 ст. 288.1 АПК РФ Арбитражный суд кассационной инстанции проверяет законность судебного приказа, устанавливая правильность применения норм материального права и норм процессуального права при вынесении судебного приказа и исходя из доводов, содержащихся в кассационной жалобе и возражениях относительно жалобы. По результатам рассмотрения кассационной жалобы на судебный приказ арбитражный суд кассационной инстанции вправе:1) оставить судебный приказ без изменения, а кассационную жалобу без удовлетворения;2) отменить судебный приказ и направить дело на новое рассмотрение, если имеются основания, указанные в части 4 ст.288.1 АПК РФ;3) отменить судебный приказ, указав при этом в постановлении на право взыскателя предъявить требование в порядке искового производства или производства по делам, возникающим из административных и иных публичных правоотношений.Согласно ст.44 Постановления Пленума ВС РФ от 27.12.2016 N 62: Если судебным приказом разрешен вопрос о правах и обязанностях лица, не участвовавшего в приказном производстве, такое лицо (например, конкурсные кредиторы, уполномоченный орган, арбитражный управляющий) вправе обжаловать судебный приказ применительно к статье 42 и части 11 статьи 229.5 АПК РФ. Так, в случае, если вынесенный судебный приказ влечет или может повлечь необоснованное увеличение кредиторской задолженности в ущерб конкурсной массе, суд кассационной инстанции отменяет судебный приказ применительно к пункту 4 части 4 статьи 288 АПК РФ."
53,Судья суда кассационной инстанции,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 54"
54,Система,"","",Синхронизировать с делом нижестоящих инстанций,"",Система синхронизирует дело с делом нижестоящих инстанций
55,Судья суда кассационной инстанции,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,—,"Судья суда кассационной инстанции передает дело в архив. Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача дела в архив"
56,Судья суда кассационной инстанции,"","",Дело завершено и передано в архив,"",Дело завершено и передано в архив
