№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
25,Суд,—,—,Все ОС рассмотрены? Эксклюзивный шлюз,—,"Суд проверяет, все ли определения рассмотрены. Согласно ч.4 ст.88 Федерального закона от 26.10.2002 N 127-ФЗ: В случае, если требования кредиторов, включенные в реестр требований кредиторов, не удовлетворены на дату рассмотрения отчета должника или указанный отчет не представлен административному управляющему в срок, установленный пунктом 1 настоящей статьи, административный управляющий созывает собрание кредиторов, которое полномочно принять одно из решений: об обращении с ходатайством в арбитражный суд о введении внешнего управления; об обращении с ходатайством в арбитражный суд о признании должника банкротом и об открытии конкурсного производства. Да: переход к шагу 22, Нет: переход к шагу 21"
26,Суд,—,—,Завершение процесса. Переход к рассмотрению ОС в зависимости от вида ОС,—,Завершение процесса. Переход к рассмотрению ОС в зависимости от вида ОС
27,Суд,—,—,Завершение процедуры фин. оздоровления в отношении должника создает препятствия для реализации ЛУВД своих прав? Эксклюзивный шлюз,—,Завершение процедуры фин. оздоровления в отношении должника создает препятствия для реализации ЛУВД своих прав? Эксклюзивный шлюз
28,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства
29,Суд,—,—,Необходимо разрешить иные вопросы в ходе судебного разбирательства? Эксклюзивный шлюз,—,Необходимо разрешить иные вопросы в ходе судебного разбирательства? Эксклюзивный шлюз
30,Суд,—,—,Требуется перейти в судебное разбирательство? Эксклюзивный шлюз,—,Требуется перейти в судебное разбирательство? Эксклюзивный шлюз
31,Суд,—,—,Завершение процесса. Переход в процесс провести СЗ,—,Завершение процесса. Переход в процесс провести СЗ
32,Суд,—,—,ТБП142.Сформировать правовую позицию по делу,—,"Типовой процесс ""Сформировать правовую позицию по делу"""
33,Суд,—,—,ТБП140.Рассмотреть по существу,—,"Типовой процесс ""Рассмотреть по существу"""
34,Суд,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
35,Суд,—,—,Необходимо дополнительное исследование доказательств или выяснение обстоятельств? Эксклюзивный шлюз,—,Необходимо дополнительное исследование доказательств или выяснение обстоятельств? Эксклюзивный шлюз
36,Суд,—,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства,—,Завершение процесса. Переход к основной схеме в зависимости от процедуры банкротства
37,Суд,—,—,Какой итог рассмотрения результатов фин. оздоровления? Эксклюзивный шлюз,—,Какой итог рассмотрения результатов фин. оздоровления? Эксклюзивный шлюз
38,Система,—,—,Сохранить данные,—,Система сохраняет данные
39,Суд,—,—,"Завершение процесса. Непогашенная задолженность отсутствует и жалобы кредиторов признаны необоснованными, требуется прекратить производство по делу",—,"Завершение процесса. Непогашенная задолженность отсутствует и жалобы кредиторов признаны необоснованными, требуется прекратить производство по делу"
40,Система,—,—,Сохранить данные,—,Система сохраняет данные
41,Суд,—,—,"Завершение процесса. Возможно восстановить платежеспособность должника, требуется ввести внешнее управление",—,"Завершение процесса. Возможно восстановить платежеспособность должника, требуется ввести внешнее управление"
42,Система,—,—,Сохранить данные,—,Система сохраняет данные
43,Суд,—,—,Завершение процесса. Требуется признать должника банкротом,—,Завершение процесса. Требуется признать должника банкротом
