№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
47,Судья,—,—,Создать новое рассмотрение,—,"Переход к типовому процессу ""Создать новое рассмотрение"""
48,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз для координации процесса
49,Судья,Материалы дела,—,ТБП142.Сформировать правовую позицию по делу,—,"Переход к типовому процессу ""Сформировать правовую позицию по делу""Система проводить автоматические проверки, анализирует материалы дела и судебную практику, формирует отчет для судьи.Внутри данного процесса ТП ""Оценить доказательства по делу""Судья формирует правовую позицию по делу (будет ли рассматривать дело по существу, прекратит, передаст по подсудности)"
50,Судья,—,—,Чем завершается рассмотрение?,—,Судья определяет способ завершения рассмотрения. Переход к шагам 51-57
51,Судья,—,—,ТБП65.Передать дело по подсудности,—,"Переход к типовому процессу ""Передать дело по подсудности"". В результате данного ТП Судья передает дело по подсудности. Только вместе с основным делом"
52,Судья,—,—,ТБП110.Рассмотреть вопрос об оставлении без рассмотрения,—,"Переход к типовому процессу ""Рассмотреть вопрос об оставлении без рассмотрения"". В результате этого ТП Судья принимает решение об оставлении заявления без рассмотрения. Оставление искового заявления без рассмотрения проводится согласно ст. 148-149 АПК. В случае оставления искового заявления без рассмотрения производство по делу заканчивается вынесением определения. В определении арбитражный суд указывает основания для оставления искового заявления без рассмотрения, а также решает вопрос о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 2 статьи 148 настоящего Кодекса. Оставление искового заявления без рассмотрения не лишает истца права вновь обратиться в арбитражный суд с заявлением в общем порядке после устранения обстоятельств, послуживших основанием для оставления заявления без рассмотрения"
53,Судья,—,—,ТБП109.Рассмотреть вопрос о прекращении производства по делу,—,"Переход к типовому процессу ""Рассмотреть вопрос о прекращении производства по делу"". В результате этого ТП Судья принимает решение о прекращении производства. Прекращение производства проводится согласно ст. 150 АПК. О прекращении производства по делу арбитражный суд выносит определение. В определении арбитражный суд указывает основания для прекращения производства по делу, а также разрешает вопросы о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 1 статьи 150 АПК, и распределении между сторонами судебных расходов. В случае прекращения производства по делу повторное обращение в арбитражный суд по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 настоящего Кодекса"
54,Судья,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз для координации процесса
55,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,—,"Переход к типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
56,Судья,—,—,Завершение процесса,—,Завершение процесса
57,Судья,Материалы дела,—,ТБП140.Рассмотреть по существу,—,"Переход к типовому процессу ""Рассмотреть по существу"". В результате данного ТП Судья рассматривает дело по существу. Согласно ч.2 ст. 213.23 Федеральный закон от 26.10.2002 N 127-ФЗ (ред. от 31.07.2025): Ходатайство конкурсного кредитора или уполномоченного органа об отмене плана реструктуризации долгов гражданина рассматривается арбитражным судом в пятнадцатидневный срок с даты поступления данного ходатайства. Если на дату судебного заседания по рассмотрению ходатайства конкурсного кредитора или уполномоченного органа об отмене плана реструктуризации долгов гражданина он не исполнил обязательства перед конкурсным кредитором или уполномоченным органом в соответствии с условиями плана реструктуризации долгов гражданина, арбитражный суд отменяет указанный план."
58,Судья,—,—,Ходатайство об отмене удовлетворено?,—,"Судья определяет, удовлетворено ли ходатайство об отмене.Да: переход к шагу 59.Нет: переход к шагу 62"
59,Судья,—,—,Требуется назначить СЗ для рассмотрения вопроса о признании должника банкротом?,—,Требуется назначить СЗ для рассмотрения вопроса о признании должника банкротом?Да: переход к шагу 61.Нет: переход к шагу 60
60,Судья,—,—,Перейти в схему Банкротство ФЛ шаг 500,—,Перейти в схему Банкротство ФЛ шаг 500
61,Судья,—,—,Перейти в схему Банкротство ФЛ шаг 600,—,Перейти в схему Банкротство ФЛ шаг 600
62,Судья,—,Определение об отказе в отмене плана реструктуризации долгов гражданина,ТБП80.Принять СА,15 дней с даты поступления данного ходатайства,"Переход к типовому процессу ""Принять СА"". В результате этого ТП Судья принимает судебный акт Определение об отказе в отмене  плана реструктуризации долгов гражданина. Согласно ст. 213.23 Федеральный закон от 26.10.2002 N 127-ФЗ :План реструктуризации долгов гражданина может быть отменен арбитражным судом только в отношении конкурсных кредиторов и уполномоченного органа, требования которых включены в указанный план. В этом случае арбитражный суд выносит определение об отмене плана реструктуризации долгов гражданина и принимает решение о признании его банкротом. Требования конкурсных кредиторов и уполномоченного органа, включенные в план реструктуризации долгов гражданина, отмененный арбитражным судом, учитываются в реестре требований кредиторов в части, в которой они должны быть удовлетворены на дату отмены указанного плана, и подлежат удовлетворению в составе требований кредиторов третьей очереди.Сведения об отмене плана реструктуризации долгов гражданина и о признании его банкротом подлежат опубликованию финансовым управляющим в порядке, установленном статьей 213.7 настоящего Федерального закона, в течение пяти дней с даты вынесения арбитражным судом определения об отмене плана реструктуризации долгов гражданина и принятия арбитражным судом решения о признании его банкротом."
63,Судья,—,—,Параллельный шлюз,—,"Параллельный шлюз для координации процесса, переход к шагам 64, 76"
64,Помощник судьи,Определение об отказе в отмене плана реструктуризации долгов гражданина,—,ТБП46.Направить документ,"1. Не позднее следующего дня после дня принятия СА – для направления электронного документа путем публикации в информационно-телекоммуникационной сети ""Интернет"". 2. 5 дней со дня принятия решения - для СА, изготовленного только на бумажном носителе. 3. 5 дней с момента получения ходатайства о необходимости выдать СА на бумажном носители если он был принят в форме электронного документа","Переход к типовому процессу ""Направить документ"". Результатом этого процесса будет направление помощником судьи сторонам копии определения. Согласно положениям ст. 186 АПК определения, выполненное в форме электронного документа, направляется лицам, участвующим в деле, посредством его размещения в установленном порядке в информационно-телекоммуникационной сети ""Интернет"" в режиме ограниченного доступа не позднее следующего дня после дня его принятия. По ходатайству указанных лиц копии решения на бумажном носителе могут быть направлены им в пятидневный срок со дня поступления соответствующего ходатайства в арбитражный суд заказным письмом с уведомлением о вручении или вручены им под расписку"
65,Помощник судьи,—,—,Судебные акты отправлены.,—,Завершение процесса
66,Заявитель (Кредитор/Уполномоченный орган),Определение об отказе в отмене плана реструктуризации долгов гражданина,—,Получено уведомление об отказе в отмене плана реструктуризации долгов гражданина,—,Заявитель получает уведомление об отказе в отмене плана реструктуризации долгов гражданина
67,Заявитель (Кредитор/Уполномоченный орган),—,—,Ознакомиться,—,Заявитель знакомится с определением
68,Заявитель (Кредитор/Уполномоченный орган),—,—,Есть основание для обжалования?,—,"Заявитель определяет, есть ли основания для обжалования.Да: переход к шагу 69.Нет: переход к шагу 70"
69,Заявитель (Кредитор/Уполномоченный орган),—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
70,Заявитель (Кредитор/Уполномоченный орган),—,—,"Лицо ознакомлено с СА, оснаваний для обжалования нет.",—,Завершение процесса
71,Иные ЛУВД,Определение об отказе в отмене плана реструктуризации долгов гражданина,—,Получено уведомление об отказе в отмене плана реструктуризации долгов гражданина,—,Иные ЛУВД получают уведомление об отказе в отмене плана реструктуризации долгов гражданина
72,Иные ЛУВД,—,—,Ознакомиться,—,Иные ЛУВД знакомятся с определением
73,Иные ЛУВД,—,—,Есть основание для обжалования?,—,"Иные ЛУВД определяют, есть ли основания для обжалования.Да: переход к шагу 74.Нет: переход к шагу 75"
74,Иные ЛУВД,—,—,Переход к процессу апелляционного обжалования,—,Переход к процессу апелляционного обжалования
75,Иные ЛУВД,—,—,"Лицо ознакомлено с СА, оснаваний для обжалования нет.",—,Завершение процесса
76,Судья,—,—,Ожидать завершения производства по делу о банкротстве,—,Судья ожидает завершения производства по делу о банкротстве
77,Заявитель (Кредитор/Уполномоченный орган),—,—,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
78,Заявитель (Кредитор/Уполномоченный орган),—,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ","Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (Кредитор/Уполномоченный орган) формируют заявление об исправлении описок/опечаток и направляют его в суд через электронную форму"
79,Заявитель (Кредитор/Уполномоченный орган),—,—,Завершение процесса,—,Завершение процесса
80,Иные ЛУВД,—,—,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
81,Иные ЛУВД,Основания для исправления опечаток/описок,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД формируют заявление об исправлении описок/опечаток и направляют его в суд через электронную форму"
82,Иные ЛУВД,—,—,Завершение процесса,—,Процесс подачи заявления завершен
83,Судья,Заявление об исправлении описок/опечаток,—,Поступило заявление об исправлении описок/опечаток,—,Судья получает заявление об исправлении описок
84,Судья,—,Определение об исправлении,ТБП52.Рассмотреть вопрос об исправлении ошибок,10 дней с момента поступления заявления,"Переход к типовому процессу ""Рассмотреть вопрос о разъяснении СА"" В результате данного ТП Судья рассматривает вопрос об исправлении описок/опечаток судебного акта без проведения судебного заседания и без извещения лиц, участвующих в деле и иных лиц. При этом содержание СА по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
85,Судья,—,—,Вопрос об исправлении ошибок рассмотрен судом,—,Процесс рассмотрения заявления завершен
86,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,—,"Переход к типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
87,Судья,—,—,Завершение процесса,—,Завершение процесса
