№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
17,Иные ЛУВД (в т.ч. Ответчик),—,Отзыв на заявление о пересмотре СА по новым обстоятельствам,Подать документы в суд,—,"Переход к Типовому процессу «Подать документы в суд»Итогом этого ТП будет подготовленный и сформированный отзыв на заявление о пересмотре СА по новым обстоятельствам, который иные ЛУВД втч ответчик подают в судПодача документов в электронном виде через форму подачи документов в суд"
18,Система ,"","",Ограничить подачу,"",Система ограничивает подачу
19,Система,"","",Завершение процесса,"",Завершение процесса
20,Иные ЛУВД (в т.ч. Ответчик),"","",Завершение процесса,"",Завершение процесса
21,Канцелярия ,"",Зарегистрированный документ,Поступил документ по делу,"",Автоматизация регистрации и присвоения номера документа
22,Канцелярия ,"",Зарегистрированный документ ,Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД,формирование связи карточки документа с карточкой дела, задача на судью"
23,Заявитель,"","",Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)."
24,Заявитель,"",Ходатайство о рассмотрении дела в отсутствие представителя,Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель  формирует и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причинПодача документов в электронном виде через форму подачи документов в суд."
25,Заявитель,"",—,Завершение процесса,—,Завершение процесса
26,Иные ЛУВД (в т.ч. Ответчик),"","",Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)."
27,Иные ЛУВД (в т.ч. Ответчик),"",Ходатайство о рассмотрении дела в отсутствие представителя,Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (в т.ч. Ответчик),  иные ЛУВД формирует и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причинПодача документов в электронном виде через форму подачи документов в суд."
28,Иные ЛУВД (в т.ч. Ответчик),"",—,Ходатайство о рассмотрении дела в отсутствие представителя подано в суд,—,Завершение процесса
29,Канцелярия,"","", Поступил документ по делу,"",""
30,Канцелярия,"",Зарегистрированный документ ,Принять входящий документ,"","Переход к типовому процессу «Принять входящий документ».Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД,формирование связи карточки документа с карточкой дела, задача на судью"
31,Канцелярия,"","",Завершение процесса,"",Завершение процесса
32,Помощник судьи,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
33,Помощник судьи,Дело/документ,Подготовленные материалы к СЗ,Подготовиться к СЗ,"Четкий срок не установлен. Подготовка дела к судебному разбирательству проводится в срок, определяемый судьей с учетом обстоятельств конкретного дела и необходимости совершения соответствующих процессуальных действий","Переход к Типовому процессу «Подготовиться к СЗ».Автоматические запросы, запросы в другую ИС, отчет о подготовке дела к рассмотрению, задачи на секретаря, помощника судьи, возможность проведения собеседования, формирование проекта СА, аудио протоколирование, транскибация собеседования"
34,Судья,—,"Определение об отложении судебного разбирательства, протокол",Провести СЗ,1 месяц со дня поступления заявления,"Переход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья проводит СЗ для рассмотрения дела по существу. Отложение судебного разбирательства проводится в соответствии с положениями ст. 158 АПК.Согласно ст. 316 заявление о пересмотре вступившего в законную силу судебного акта по новым или вновь открывшимся обстоятельствам арбитражный суд рассматривает в судебном заседании в срок, не превышающий месяца со дня его поступления в арбитражный суд. Заявитель и другие лица, участвующие в деле, извещаются о времени и месте судебного заседания. Неявка надлежащим образом извещенных лиц не является препятствием для рассмотрения заявления.Аудио протоколирование, транскибация, формирование проекта протокола СЗ, онлайн график СЗ, автоматическая проверка явки, подбор времени и места проведения СЗ при перерыве и отложении, формирование проекта СА об отложении СЗ"
35,Судья,"","",Рассмотреть заявление о пересмотре,"",ТП Рассмотреть заявление о пересмотре
36,Судья,"",-Постановление об удовлетворении заявления и отмене ранее принятого им судебного акта по новым или вновь открывшимся обстоятельствам-Определение об отказе в удовлетворении заявления о пересмотре по новым или вновь открывшимся обстоятельствам,Принять СА,—,"Переход к типовому процессу «Принять СА». В результате этого ТП Судья принимает судебный акт по результатам рассмотрения.Согласно ст.25 Постановление Пленума ВАС РФ от 30.06.2011 N 52 В случае удовлетворения заявления о пересмотре судебного акта по новым или вновь открывшимся обстоятельствам вопрос о составе суда, повторно рассматривающего дело, решается с учетом положений статьи 17 АПК РФ о единоличном или коллегиальном рассмотрении дела. При этом дело рассматривается тем же составом суда, который рассматривал дело по существу, или в ином судебном составе того же суда.Согласно ст 4 Постановление Пленума ВАС РФ от 30.06.2011 N 52, суду следует проверить, не свидетельствуют ли факты, на которые ссылается заявитель, о представлении новых доказательств, имеющих отношение к уже исследовавшимся ранее судом обстоятельствам. Представление новых доказательств не может служить основанием для пересмотра судебного акта по вновь открывшимся обстоятельствам по правилам главы 37 АПК РФ. В таком случае заявление о пересмотре судебного акта по вновь открывшимся обстоятельствам удовлетворению не подлежит.Согласно ст. 30.3 Постановление Пленума ВАС РФ от 25.12.2013 N 100 Оригинал судебного акта, принятого по результатам рассмотрения дела по новым или вновь открывшимся обстоятельствам, подшивается в материалы судебного дела (копия - в материалы судебного производства, если суд, рассматривающий дело по вновь открывшимся обстоятельствам, не является судом первой инстанции)"
37,Заявитель,"","",Получено уведомление о решении,"",Получено уведомление о решении
38,Заявитель,"",—,Ознакомиться,—,Заявитель знакомится с решением
39,Заявитель,—,—,Есть ли основание для обжалования?,—,"Заявитель определяет, есть ли основания для обжалования итогового судебного документа.Да: переход к шагу 40Нет: переход к шагу 41"
40,Заявитель,—,—,Переход к процессу обжалования в порядке апелляционного производства,—,Заявитель переходит к процессу обжалования в порядке апелляционного производства
41,Заявитель,"","",Завершение процесса,"",Завершение процесса
42,Иные ЛУВД (в т.ч. Ответчик),"","",Получено уведомление о решении,"",Получено уведомление о решении
43,Иные ЛУВД (в т.ч. Ответчик),"",—,Ознакомиться,—,Заявитель знакомится с решением
44,Иные ЛУВД (в т.ч. Ответчик),—,—,Есть ли основание для обжалования?,—,"Заявитель определяет, есть ли основания для обжалования итогового судебного документа.Да: переход к шагу 45Нет: переход к шагу 46"
45,Иные ЛУВД (в т.ч. Ответчик),—,—,Переход к процессу обжалования в порядке апелляционного производства,—,Заявитель переходит к процессу обжалования в порядке апелляционного производства
46,Иные ЛУВД (в т.ч. Ответчик),"","",Завершение процесса,"",Завершение процесса
47,Судья,—,—,Заявление о пересмотре удовлетворено?Эксклюзивный шлюз,—,"Эксклюзивный шлюзСудья определяет, удовлетворено ли заявление о пересмотреДа: переход к шагу 48Нет: переход к шагу 49"
48,Судья,"","",Переход к новому рассмотрению в зависимости от процесса,"",""
49,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
50,Судья,—,—,Ожидать 6 месяцев с даты вступления в ЗС,6 месяцев,Судья ожидает истечения 6 месяцев с даты вступления в силу судебного акта
51,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
52,Судья,—,—,Завершение процесса,—,Завершение процесса
