№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
22,Орган/организация/должностное лицо; вышестоящие организации,Частное определение,—,Есть основания для обжалования?Эксклюзивный шлюз,—,"Поскольку частное определение, вынесенное в порядке статьи 188.1 АПК РФ, затрагивает права и законные интересы лиц, в отношении которых оно вынесено, оно может быть обжаловано в срок, не превышающий десяти дней со дня вынесения, в арбитражный суд апелляционной инстанции.Если «Да» - переход к шагу 13, если «нет» - к шагу 12.Подсказки по критериям обжалования"
23,Орган/организация/должностное лицо; вышестоящие организации,—,—,"Лицо ознакомлено с СА, оснаваний для обжалования нет.",—,Завершение процесса
24,Орган/организация/должностное лицо; вышестоящие организации,—,—,Переход к Апелляционному обжалованию,—,Переход к Апелляционному обжалованию частного определения.Ссылка на типовой процесс; автосоздание черновика жалобы
25,Канцелярия,Информационное письмо (уведомление о принятых мерах),—,Получить ответ,—,Канцелярия получает информационное письмо о принятых мерах.Контроль входящих; авто-реестр входящих
26,Канцелярия,Информационное письмо (уведомление о принятых мерах),Зарегистрированное информационное письмо,ТБП53.Принять входящий документ,—,"Переход к ТП «Принять входящий документ», в рамках которого канцелярия выполняет все необходимые действия для регистрации документа в системе.Автоматизированная регистрация; штрихкод/ID документа"
27,Помощник судьи,—,—,Закрывающий шлюз,—,Закрывающий шлюз
28,Помощник судьи,—,—,Ответ получен?Эксклюзивный шлюз,—,"Вопрос про то, исполнены ли меры по устранению нарушений со стороны соответствующего органа. Если «Да» - переход к шагу 37; Если «Нет» - к шагу 29.Подсказки по критериям достаточности ответа"
29,Система,—,Сообщение судье,Проинформировать судью,—,Система уведомляет о бездействии органа судье.Автоуведомление с помощью задачи на рассмотрение письма и принятых мир
30,Судья,Частное определение,—,Ознакомиться с принятыми мерами,—,Судья знакомится с документом.Напоминания о возможных действиях
31,Судья,—,—,Завершение процесса,—,Завершение процесса
32,Система,—,Сообщение судье,Проинформировать судью,—,Система уведомляет о бездействии органа судье.Автоуведомление с помощью задачи на рассмотрение письма и принятых мир
33,Судья,Частное определение,—,Ознакомиться,—,"Лицо, в отношении которого вынесено частное определение, знакомится с документом.Напоминания о возможных действиях"
34,Судья,—,—,Необходимо наложить судебный штраф?Эксклюзивный шлюз,—,В случае неисполнения действий по устранению на такие органы может быть наложен судебный штраф.Если «Да» - переход к шагу 32; Если «Нет» - к шагу 35.Чек-лист критериев наложения штрафа
35,Судья,—,—,Завершение процесса,—,Завершение процесса
36,Судья,—,Определение о наложении судебного штрафа,ТБП16.Наложить судебный штраф,—,В случае неисполнения действий по устранению на такие органы может быть наложен судебный штраф.Если «Да» - переход к шагу 32; Если «Нет» - к шагу 35.Чек-лист критериев наложения штрафа. Система готовит проект определения
37,Система,—,—,Контролировать получение ответа после наложения штрафа,—,Система контролирует получение ответа после наложения штрафа
38,Помощник судьи,—,—,Ответ получен?Эксклюзивный шлюз,—,"Вопрос про то, исполнены ли меры по устранению нарушений со стороны соответствующего органа. Если «Да» - переход к шагу 37; Если «Нет» - к шагу 29.Подсказки по критериям достаточности ответа"
39,Система,—,Сообщение судье,Проинформировать судью,—,Система уведомляет о бездействии органа судье.Автоуведомление
40,Судья,Частное определение,—,Ознакомиться с принятыми мерами,—,Судья знакомится с документом.Напоминания о возможных действиях
41,Судья,—,—,Завершение процесса,—,Завершение процесса
42,Судья,—,Определение о наложении судебного штрафа,Необходимо наложить судебный штраф повторно? Эксклюзивный шлюз,—,"Переход к ТП «Наложить судебный штраф». Результатом данного ТП будет вынесение определения о наложении судебного штрафа на органы, не доложивших о принятых мерах по устранению нарушений.Шаблон судебного акта; контроль реквизитов"
43,Судья,—,—,Завершение процесса,—,Завершение процесса
44,Судья,—,Определение о наложении судебного штрафа,ТБП16.Наложить судебный штраф,—,В случае неисполнения действий по устранению на такие органы может быть наложен судебный штраф.Если «Да» - переход к шагу 32; Если «Нет» - к шагу 35.Чек-лист критериев наложения штрафа
45,Судья,—,—,Завершение процесса,—,Завершение процесса
