№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
24,Помощник судьи,"","",ТБП66.Подготовиться к СЗ,"","Переход к Типовому процессу «Подготовиться к СЗ». В результате данного ТП помощник судьи проверяет необходимые для данного процесса требования согласно ст. 232 АПК РФ. Согласно ч.2 ст.232 АПК РФПри подготовке дела об отмене решения третейского суда к судебному разбирательству по ходатайству лиц, участвующих в деле, арбитражный суд может истребовать материалы дела, решение по которому оспаривается в арбитражном суде, из постоянно действующего арбитражного учреждения, в котором находятся на хранении материалы третейского дела, или из органа, уполномоченного на хранение материалов третейского дела в соответствии с законодательством Российской Федерации, по правилам, предусмотренным ст.66 АПК РФ. Лица, участвующие в деле об отмене решения третейского суда, извещаются арбитражным судом о времени и месте судебного заседания. Неявка указанных лиц, извещенных надлежащим образом о времени и месте проведения судебного заседания, не является препятствием для рассмотрения дела.Автоматические запросы, запросы в другую ИС, отчет о подготовке дела к рассмотрению, задачи на секретаря, помощника судьи, возможность проведения собеседования, формирование проекта СА, аудио протоколирование, транскрибация собеседования."
25,Судья,"","Определение об отложении судебного разбирательства, протокол",ТБП68.Провести СЗ,1 месяц со дня поступления заявления,"Переход к типовому процессу ""Провести СЗ"". В результате данного ТП судья проводит единое судебное заседание по рассмотрению первоначального и встречного иска. В соответствии с ч.1 ст. 232 АПК РФ Заявление об отмене решения третейского суда рассматривается судьей единолично по правилам рассмотрения дела арбитражным судом первой инстанции, предусмотренным настоящим Кодексом, с учетом особенностей, установленных настоящим параграфом, в срок, не превышающий одного месяца со дня его поступления в арбитражный суд субъекта Российской Федерации.Согласно ч.3 ст.232 АПК РФ При рассмотрении заявления об отмене решения третейского суда, поданного лицом, которое не является стороной третейского разбирательства и в отношении прав и обязанностей которого вынесено решение третейского суда, арбитражный суд обязан привлечь к участию в деле все стороны третейского разбирательства.Отложение судебного разбирательства проводится в соответствии с положениями ст. 158 АПК.Судебное разбирательство в новом судебном заседании возобновляется с того момента, с которого оно было отложено. Повторное рассмотрение доказательств, исследованных до отложения судебного разбирательства, не производится"
26,Судья, , ,ТБП142.Сформировать правовую позицию по делу, ,"Переход к типовому процессу ""Сформировать правовую позицию по делу"". В результате данного ТП Судья формирует правовую позицию по делу. Система проводить автоматические проверки, анализирует материалы дела и судебную практику, формирует отчет для судьи.Внутри данного процесса ТП ""Оценить доказательства по делу""Судья формирует правовую позицию по делу (будет ли рассматривать дело по существу, прекратит, передаст по подсудности)"
27,Судья,"","",ТБП140.Рассмотреть по существу,"","Переход к типовому процессу ""Рассмотреть по существу"". В результате данного ТП Судья рассматривает заявление по существу."
28,Судья,"",—,Требуется прекратить производство по заявлению?Эксклюзивный шлюз,—,Определяется требуется ли прекратить производство по заявлениюДа: переход к шагу 35Нет: переход к шагу 39
29,Заявитель (участник третейского разбирательства),"","",Возникла необходимость подать ходатайство о прекращении производства по заявлению,"",У Заявителя (участника третейского разбирательства) возникла необходимость подать ходатайство о прекращении производства по заявлению
30,Заявитель (участник третейского разбирательства),"",Ходатайство о прекращении производства по заявлению,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Заявитель (участник третейского разбирательства) формирует и подает в суд ходатайство о прекращении производства по заявлению"
31,Заявитель (участник третейского разбирательства),"","",Переход к шагу Рассмотреть вопрос о прекращении производства по делу,"",Переход к шагу Рассмотреть вопрос о прекращении производства по делу
32,Иные ЛУВД (участники третейского разбирательства),"","",Возникла необходимость подать ходатайство о прекращении производства по заявлению,"",У иных ЛУВД (участники третейского разбирательства) возникла необходимость подать ходатайство о прекращении производства по заявлению
33,Иные ЛУВД (участники третейского разбирательства),"",Ходатайство о прекращении производства по заявлению,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Иные ЛУВД (участники третейского разбирательства) формируют и подают в суд ходатайство о прекращении производства по заявлению"
34,Иные ЛУВД (участники третейского разбирательства),"","",Переход к шагу Рассмотреть вопрос о прекращении производства по делу,"",Переход к шагу Рассмотреть вопрос о прекращении производства по делу
35,Судья,"","",ТБП109.Рассмотреть вопрос о прекращении производства по делу,"","Переход к типовому процессу ""Рассмотреть вопрос о прекращении производства по делу"" В результате этого ТП Судья принимает решение о прекращении производстваПрекращение производства проводится согласно ст. 150 АПК. О прекращении производства по делу арбитражный суд выносит определение.В определении арбитражный суд указывает основания для прекращения производства по делу, а также разрешает вопросы о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 1 статьи 150 АПК, и распределении между сторонами судебных расходов.В случае прекращения производства по делу повторное обращение в арбитражный суд по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 настоящего Кодекса.Оспаривание арбитражных решений, если место арбитража находилось за пределами Российской Федерации, в судах Российской Федерации не допускается, в связи с этим суд отказывает в принятии такого заявления на основании пункта 1 части 1 статьи 127.1 АПК РФ, производство, начатое по таким заявлениям, подлежит прекращению применительно к пункту 1 части 1 статьи 150 АПК РФ."
36,Судья,"","",Ожидать 6 месяцев с даты вступления в законную силу СА,—,Судья ожидает 6 месяцев с даты вступления с законную силу СА
37,Судья,Материалы иска с приобщённым Определением о прекращении производства,"Материалы дела, подготовленные для передачи в архив",ТБП89.Передать дело в архив,—,"Переход к Типовому процессу «Передать дело в архив»Результат данного ТП -передача дела в архив на хранения и последующее уничтожения после истечения срока хранения.Сроки хранения будут завесить от основного дела, к которому были приобщены материалы по прекращению производства"
38,Судья,"","",Производство по делу прекращено,"",Производство по делу прекращено
39,Судья,"","",Переход к процессу выдачи ИЛ на решение третейского суда,"",Переход к процессу выдачи ИЛ на решение третейского суда
