№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,Судья,"","",Ожидать окончания срока обжалования последнего СА по делу,"",Ожидать окончания срока обжалования последнего СА по делу
11,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения"
12,Судья,—,Заявление о выполнении арбитражным судом функций содействия в отношении третейского суда,Заявление не принято к производству передано в архив,"","Судья не принимает заявление к производству. Ст. 217.1 определяются основания для отказа в принятии к производству заявления. Об отказе в принятии заявления, заявления судья выносит определение, в котором указывает обстоятельства, послужившие основанием для отказа в принятии заявления, заявления, и решает вопрос о возврате государственной пошлины лицу, предъявившему заявление, заявление, если государственная пошлина была уплачена. Копии определения направляются ЛУВД не позднее 5 дней со дня поступления заявления в суд. Определение может быть обжаловано."
13,Иные ЛУВД (участники третейского разбирательства),"","",Получено уведомление о вынесении определения о принятии,"",Получено уведомление о вынесении определения о принятии
14,Иные ЛУВД (участники третейского разбирательства),"","",Ознакомиться с материалами дела в ЛК,"",Иные ЛУВД (участники третейского разбирательства) знакомится с материалами дела в ЛК
15,Иные ЛУВД (участники третейского разбирательства),"","",Необходимо подать отзыв на заявление?Эксклюзивный шлюз,"",Определяется необходимо ли подать отзыв на заявление?Да: переход к шагу 17Нет: переход к шагу 16
16,Иные ЛУВД (участники третейского разбирательства),"","",ЛУВД ознакомлен с определением о принятии,"",ЛУВД ознакомлен с определением о принятии
17,Иные ЛУВД (участники третейского разбирательства),"",Отзыв на исковое заявление,ТБП7.Подать документы в суд,"Срок для предоставления отзывов/возражений, указанный в определении суда","Переход к Типовому процессу «Подать документы в суд»Итогом этого ТП будет подготовленный и сформированный отзыв на заявление, который Иные ЛУВД (участники третейского разбирательства) подают в суд"
18,Система,"","",Ограничить подачу,"",Система ограничивает подачу
19,Система,"","",Ограничена подача в связи с истечением срока установленного судом,"",Ограничена подача в связи с истечением срока установленного судом
20,Иные ЛУВД (участники третейского разбирательства),"","",Документы поданы,"",Документы поданы
21,Канцелярия,"","",Поступили отзыв,"",Канцелярия фиксирует поступление отзыва
22,Канцелярия,Заявление о выдаче исполнительного листа на принудительное исполнение решения третейского суда,Зарегистрированное заявление,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ.В to be необходимо объединить Принять входящий документ и Передать дело/документ судье. Все необходимые фиксации делаются в электронных реестрах системой (через задачи т.к. реестр - это АПП), оповещения сторонних сервисов высылаются посредством интеграцииДобавляем документ в к делу, создаем необходимые задачи. Распределение на судью, задача на судью.Начальные проверки и валидация должны быть заложены в процесс ""Подать документы в суд"". Если система не имеет подтверждения о прохождении проверок комплектом документов, то вызов проверок осуществляется из этого процесса."
23,Помощник судьи,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 24"
24,Помощник судьи,"","",ТБП119.Подготовить заявление к рассмотрению,"","Переход к типовому процессу ""Подготовить заявление к рассмотрению"""
25,Судья,"","",Требуется назначить СЗ?Эксклюзивный шлюз,"",Требуется назначить СЗ?Да: переход к шагу 26Нет: переход к шагу 59
26,Судья,"",Определение о назначении СЗ,ТБП44.Назначить СЗ,"","Переход к типовому процессу ""Назначить СЗ"". В результате данного ТП Судья назначает СЗ для рассмотрения дела. О месте и времени оповещаются ЛУВД"
27,Заявитель (участник третейского разбирательства),—,"",Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)."
28,Заявитель (участник третейского разбирательства),—,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (участник третейского разбирательства) формирует и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин"
29,Заявитель (участник третейского разбирательства),—,—,Завершение процесса,—,Завершение процесса
30,Иные ЛУВД (участники третейского разбирательства),—,"",Возникла необходимость в рассмотрении дела в своё отсутствие,—,"Если лицо не может присутствовать на судебном заседании по делу, оно имеет возможность заранее уведомить суд, отправив соответствующее ходатайство. Это поможет избежать наложения штрафных санкций (ст. 156 АПК РФ)."
31,Иные ЛУВД (участники третейского разбирательства),—,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (участники третейского разбирательства) формирует и направляет Ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причин"
32,Иные ЛУВД (участники третейского разбирательства),—,—,Завершение процесса,—,Завершение процесса
33,Канцелярия,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,Зарегистрированный документ,Поступил документ по делу,—,Канцелярия принимает и регистрирует поступивший документ
34,Канцелярия,Ходатайство о рассмотрении дела в отсутствие представителя/в свое отсутствие.,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день",Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ
35,Канцелярия,"","",Документ зарегистрирован,"",Документ зарегистрирован
36,Заявитель (участник третейского разбирательства),—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения,Возникла необходимость подать ходатайство о приостановлении/оставлении без рассмотрения,—,У Заявителя (участник третейского разбирательства) возникла необходимость подать ходатайство/заявление о приостановлении/оставлении без рассмотрения
37,Заявитель (участник третейского разбирательства),—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (участник третейского разбирательства) формирует и направляет Ходатайство/заявление о приостановлении/оставлении без рассмотрения"
38,Заявитель (участник третейского разбирательства),—,—,Переход к шагам о приостановлении/оставлении без рассмотрения/,—,Переход к рассмотрению соответствующих шагов о о приостановлении/оставлении без рассмотрения
39, Иные ЛУВД (участники третейского разбирательства),—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения,Возникла необходимость подать ходатайство о приостановлении/оставлении без рассмотрения,—,Иные ЛУВД (участники третейского разбирательства) возникла необходимость подать ходатайство/заявление о приостановлении/оставлении без рассмотрения
40, Иные ЛУВД (участники третейского разбирательства),—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ.","Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (участники третейского разбирательства) формирует и направляет Ходатайство/заявление о приостановлении/оставлении без рассмотрения"
41,Иные ЛУВД (участники третейского разбирательства),—,—,Переход к шагам о приостановлении/оставлении без рассмотрения/,—,Переход к рассмотрению соответствующих шагов о о приостановлении/оставлении без рассмотрения
42,Заявитель (участник третейского разбирательства),—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,Заявитель (участник третейского разбирательства) принимает решение о подаче заявления об отводе судьи
43,Заявитель (участник третейского разбирательства), ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (участник третейского разбирательства) формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу."
44,Заявитель (участник третейского разбирательства),—,—,Завершение подачи заявления,—,Процесс подачи заявления завершен
45,Иные ЛУВД (участники третейского разбирательства),—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,Иные ЛУВД (участники третейского разбирательства) принимает решение о подаче заявления об отводе судьи
46,Иные ЛУВД (участники третейского разбирательства), ,Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (участники третейского разбирательства) формируют и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу."
47,Иные ЛУВД (участники третейского разбирательства),—,—,Завершение подачи заявления,—,Процесс подачи заявления завершен
48,Судья,—,—,Возникла необходимость в отводе/самоотводе судьи,—,Судья принимает решение о самоотводе. Основания для отвода/самоотвода судьи регулируются ст. 21 АПК.
49,Судья,—,Определение об отводе/самоотводе,ТБП27.Отвод/самоотвод судьи,—,"Судья рассматривает вопрос об отводе или принимает самоотвод . Согласно ст. 24-26 АПК по итогам заявления отвода/самоотвода в случае единоличного рассмотрения, вопрос решается тем же судьей, в случае коллегиального-большинством голосов при удалении судьи, в отношении которого заявлен отвода/самоотвода. В результате отвода/самоотвода судья в заседании заменяется."
50,Судья,—,—,Завершение процесса отвода,—,Процесс отвода судьи завершен
51,Судья,—,—,Возникла необходимость в замене судьи,—,Судья принимает решение о необходимости замены
52,Судья,—,Определение о замене судьи,ТБП28.Заменить судью,—,"Судья принимает решение о замене судьи. Согласно ст 18 АПК в случае замены судьи, арбитражного заседателя в процессе рассмотрения дела судебное разбирательство должно быть произведено с самого начала. "
53,Судья,—,—,Завершение процесса замены,—,Процесс замены судьи завершен
54,Помощник судьи,"","",ТБП66.Подготовиться к СЗ,—,"Переход к Типовому процессу «Подготовиться к СЗ».В ходе подготовки к СЗ помощник судьи будет проверять: извещены ли стороны о судебном заседании, будут собирать поступающие отзывы/возражения по делу, будет проведен предварительный анализ поступивших документов, ответов на запросы (если они были направлены), будет проверять был ли предоставлен доступ к ознакомлению с делу электронно всем сторонам и другие вопросы, подлежащие выяснению в рамках подготовки к проведению судебного заседания. Согласно ч.2 ст. 240.3 Неявка ЛУВД, извещенных надлежащим образом о времени и месте судебного заседания, не является препятствием для рассмотрения дела "
55,Судья,"","Определение об отложении судебного разбирательства, протокол",ТБП68.Провести СЗ,1 месяц со дня поступления заявления,"Переход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья проводит СЗ для рассмотрения заявления.  О времени и месте судебного заседания арбитражный суд извещает лиц, участвующих в деле, и других участников арбитражного процесса. Согласно ч. 3 ст. 240.3 При рассмотрении дела арбитражный суд в судебном заседании устанавливает наличие или отсутствие оснований для удовлетворения требований заявителя путем исследования представленных в суд доказательств в обоснование заявленных требований и возражений. Отложение судебного разбирательства проводится в соответствии с положениями ст. 158 АПК.Судебное разбирательство в новом судебном заседании возобновляется с того момента, с которого оно было отложено. Повторное рассмотрение доказательств, исследованных до отложения судебного разбирательства, не производится."
56,Судья,—,—,Требуется приостановить производство по заявлению?Эксклюзивный шлюз,—,Проводится проверка требуется ли приостановить производство.Да: переход к шагу 57Нет: переход к шагу 58
58,Судья,"Ходатайство о приостановлении, материалы дела",Определение о приостановленииОпределение об отказе о приостановлении Определение о восстановлении производства,Рассмотреть вопрос о приостановлении,—,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"". В результате ТП Судья рассматривает ходатайство о приостановлении производства по делу, анализирует представленные материалы и принимает соответствующее процессуальное решениеПриостановление:АС обязан приостановить дела согласно ст 143 АПК в связи со смертью гражданина, утратой дееспособности, невозможности рассмотрения данного дела до разрешения другого дела иным судом, участия гражданина, являющегося стороной в деле, в боевых действияхАС в праве приостановить рассмотрение дела согласно ст 144 АПК в связи с реорганизацией ЮЛ, назначением экспертизы, для выполнения гражданином государственной обязанности, нахождением стороны в лечебном учреждении или длительной служебной командировке, участие ЕИО организации в боевых действияхВозобновление производства по делу регулируется положениями ст. 146 АПК РФ по заявлению лиц, участвующих в деле, или по своей инициативе после устранения обстоятельств, вызвавших его приостановление, либо до их устранения по заявлению лица, по ходатайству которого производство по делу было приостановлено"
59,Судья,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз для координации потоков, переход к шагу 62"
60,Судья,"","",Переход из ТП Переход к новому рассмотрению в зависимости от процесса,"",Переход из ТП Переход к новому рассмотрению в зависимости от процесса
61,Судья,"","",Создать новое рассмотрение,"","Переход к типовому процессу ""Создать новое рассмотрение"". В результате данного ТП судья создает новое рассмотрение по делу"
62,Судья,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 63"
63,Судья,"","",ТБП142.Сформировать правовую позицию по делу,"","Переход к типовому процессу ""Сформировать правовую позицию по делу"". В результате данного ТП судья формирует правовую позицию по данному делу"
64,Судья,"","",Какую функцию содействия осуществляет суд?,—,"Судья определяет, какую функцию содействия осуществляет суд, исходя из положений ч.2 ст. 240.1 АПК РФ. Переход к шагам 65, 66, 67"
65,Судья,"","",Рассмотреть вопрос об отводе третейского судьи,"15 дней после того, как стало известно о формировании состава суда, а также об обстоятельствах для отвода судьи для сообщения третейскому судье мотивов отвода1 месяц со дня получения уведомления о решении об отклонении отвода для обращения в суд","Судья рассматривает вопрос об отводе третейского судьи. Согласно положениям ч.1 ст. 240.4 запрос об отводе судьи удовлетворяется при наличии следующих обстоятельств:1) соблюдена процедура отвода третейского судьи, которая установлена сторонами или федеральным законом и согласно которой вопрос об отводе третейского судьи передан на разрешение арбитражного суда;2) имеются основания для отвода третейского судьи, установленные ст. 12 ФЗ от 29.12.2015 N 382-ФЗ.Порядок отвода определяется ст. 13 данного ФЗ, в особенности положением ч. 2: сторона, намеревающаяся заявить отвод арбитру, в течение пятнадцати дней после того, как ей стало известно о формировании третейского суда или о любых обстоятельствах, указанных в части 2 статьи 12 настоящего Федерального закона, в письменной форме сообщает третейскому суду мотивы отвода. Если арбитр, которому заявлен отвод, не заявляет самоотвод или другая сторона не соглашается с отводом, вопрос об отводе решается третейским судом.А также ч. 3 ст. 13: Если при применении любой процедуры, согласованной сторонами, или процедуры, предусмотренной частью 2 настоящей статьи, заявление об отводе не удовлетворено, сторона, заявляющая отвод, в течение одного месяца со дня получения уведомления о решении об отклонении отвода может подать заявление в компетентный суд об удовлетворении отвода. Стороны, арбитражное соглашение которых предусматривает администрирование арбитража постоянно действующим арбитражным учреждением, своим прямым соглашением могут исключить возможность разрешения данного вопроса судом. Предъявление в суд указанного заявления само по себе не препятствует третейскому суду, включая арбитра, которому заявлен отвод, продолжать арбитраж и принять арбитражное решение"
66,Судья,"","",Рассмотреть вопрос о назначении третейского судьи,1 месяц для избрания судьи/судей при коллегиальном рассмотрении,"Формирование состава третейского суда происходит согласно правилам ст. 10 ФЗ от 29.12.2015 N 382-ФЗ. Основания для удовлетворения судом определяется согласно положениям ч.1 ст. 240.4. Данный вопрос передается на разрешение арбитражному суду в данных случаях:При арбитраже с тремя арбитрами каждая сторона избирает одного арбитра и два назначенных таким образом арбитра избирают третьего арбитра. Если сторона не изберет арбитра в течение одного месяца по получении просьбы об этом от другой стороны или если два арбитра в течение одного месяца с момента их избрания не договорятся об избрании третьего арбитра, по заявлению любой стороны назначение производится компетентным судом (п.1 ч.3 ст. 11 ФЗ)При арбитраже с единоличным арбитром, если стороны арбитража не придут к соглашению об избрании арбитра, по просьбе любой стороны назначение производится компетентным судом (п.2 ч.3 ст. 11 ФЗ)"
67,Судья,"","",Рассмотреть вопрос о прекращении полномочий,—,"Заявление по вопросу о прекращении полномочий третейского судьи подлежит удовлетворению арбитражным судом при наличии одновременно обстоятельств определенных ч.3 ст. 240.4Основания для прекращения полномочий третейского судьи определяются ст. 14 ФЗ от 29.12.2015 N 382-ФЗ:-Смерть арбитра-Полномочия третейского судьи могут быть прекращены по соглашению сторон, в связи с самоотводом третейского судьи или отводом третейского судьи по основаниям, предусмотренным статьями 11 и 12 настоящего Федерального закона-Полномочия третейского судьи прекращаются после принятия решения по конкретному делу. В случаях, предусмотренных статьями 34 - 36 настоящего Федерального закона, полномочия третейского судьи возобновляются, а затем прекращаются после совершения процессуальных действий, предусмотренных указанными статьями-Юридическая или фактическая неспособность третейского судьи участвовать в рассмотрении спора"
68,Судья,"","",Эксклюзивный шлюз,—,"Эксклюзивный шлюз для координации потоков, переход к шагу 69"
69,Судья,"",—,Чем завершается рассмотрение?Эксклюзивный шлюз,—,Определяется чем завершается рассмотрениеДа: переход к шагу 70Нет: переход к шагу 73
70,Судья,"",Определение  об оставлении заявления без рассмотрения,ТБП110.Рассмотреть вопрос об оставлении без рассмотрения,—,"Переход к типовому процессу ""Рассмотреть вопрос об оставлении без рассмотрения"" В результате этого ТП Судья принимает решение об оставлении заявления без рассмотренияОставление заявления без рассмотрения проводится согласно ст. 148-149 АПК.В случае оставления заявления без рассмотрения производство по делу заканчивается вынесением определения.В определении арбитражный суд указывает основания для оставления заявления без рассмотрения, а также решает вопрос о возврате государственной пошлины из федерального бюджета в случае, предусмотренном частью 2 статьи 148 настоящего Кодекса.Оставление  заявления без рассмотрения не лишает истца права вновь обратиться в арбитражный суд с заявлением в общем порядке после устранения обстоятельств, послуживших основанием для оставления заявления без рассмотрения.  "
71,Судья,Материалы дела с приобщённым Определением об оставлении заявления без рассмотрения,"Материалы дела, подготовленные для передачи в архив",ТБП89.Передать дело в архив,—,"Переход к Типовому процессу «Передать дело в архив»Результат данного ТП -передача дела в архив на хранения и последующее уничтожения после истечения срока хранения.Сроки хранения будут завесить от основного дела, к которому были приобщены материалы по оставлению заявления без рассмотрения"
72,Судья,"","",Дело завершено передано в архив,"",Дело завершено передано в архив
73,Судья,"","",ТБП140.Рассмотреть по существу,"","Переход к типовому процессу ""Рассмотреть по существу"". В результате данного ТП судья рассматривает дело по существу"
 74,Судья,"",Определении о выполнении арбитражными судами функций содействия в отношении третейских судов,ТБП80.Принять СА,"",Судья выносит определение арбитражного суда по делу о выполнении арбитражными судами функций содействия в отношении третейских судов. Содержание определения определяется ч.2 ст. 240.5. Согласно ч.3 ст.240.5 данное определение не может быть обжаловано
75,Система,"","",Предоставить доступ к документам подлежащим передачи,"",Система предоставляет доступ к документам подлежащим передачи
76,Заявитель (участник третейского разбирательства),"","",Получено определение арбитражного суда по делу о выполнении арбитражными судами функций содействия в отношении третейских судов,—,Заявитель (участник третейского разбирательства) получает определение о выполнении арбитражными судами функций содействия в отношении третейских судов
77,Заявитель (участник третейского разбирательства),"","",Ознакомиться,—,Заявитель (участник третейского разбирательства) знакомится с Определением о выполнении арбитражными судами функций содействия в отношении третейских судов. Данное определение не обжалуется.
78,Заявитель (участник третейского разбирательства),"","",Требуется ли изготовление мотивированного решения?Эксклюзивный шлюз,"",Требуется ли изготовление мотивированного решения?Да: переход к шагу 79Нет: переход к шагу 82
79,Заявитель (участник третейского разбирательства),"",Заявление об изготовлении мотивированного решения,ТБП7.Подать документы в суд,5 дней с даты СА,"Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП заявитель подает Заявление об изготовлении мотивированного решения. Подача документов в электронном виде через форму подачи документов в суд"
80,Система,"","",Ограничить подачу,"",Система ограничивает подачу
81,Система,"","",Подача ограничена,"",Подача ограничена
82,Заявитель (участник третейского разбирательства),"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 83"
83,Заявитель (участник третейского разбирательства),"","",Лицо ознакомлено,"",Лицо ознакомлено
84,Иные ЛУВД (участники третейского разбирательства),"","",Получено определение арбитражного суда по делу о выполнении арбитражными судами функций содействия в отношении третейских судов,—,Иные ЛУВД (участники третейского разбирательства) получает определение о выполнении арбитражными судами функций содействия в отношении третейских судов
85,Иные ЛУВД (участники третейского разбирательства),"","",Ознакомиться,—,Иные ЛУВД (участники третейского разбирательства) знакомится с Определением о выполнении арбитражными судами функций содействия в отношении третейских судов. Данное определение не обжалуется.
86,Иные ЛУВД (участники третейского разбирательства),"","",Требуется ли изготовление мотивированного решения?Эксклюзивный шлюз,"",Требуется ли изготовление мотивированного решения?Да: переход к шагу 87Нет: переход к шагу 90
87,Иные ЛУВД (участники третейского разбирательства),"",Заявление об изготовлении мотивированного решения,ТБП7.Подать документы в суд,5 дней с даты СА,"Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП заявитель подает Заявление об изготовлении мотивированного решения. Подача документов в электронном виде через форму подачи документов в суд"
88,Система,"","",Ограничить подачу,"",Система ограничивает подачу
89,Система,"","",Подача ограничена,"",Подача ограничена
90,Иные ЛУВД (участники третейского разбирательства),"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 91"
91,Иные ЛУВД (участники третейского разбирательства),"","",Лицо ознакомлено,"",Лицо ознакомлено
92,Канцелярия,"","",Поступил документ,"",Канцелярия фиксирует поступление документа
93,Канцелярия,Заявление об изготовлении мотивированного решения,Зарегистрированный документ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день",Переход к типовому процессу «Принять входящий документ».При поступлении заявления в суд происходит регистрация входящего документа и его распределение судье (при необходимости). Результатом этого ТП будет являться зарегистрированный документ
94,Судья,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 95"
95,Судья,"","",Поступило заявление об изготовлении мотивированного определения?Эксклюзивный шлюз,"",Поступило заявление об изготовлении мотивированного определения?Да: переход к шагу 96Нет: переход к шагу 103
96,Судья,"","",ТБП87.Рассмотреть заявление об изготовлении мотивированного СА,"","Переход к типовому процессу ""Рассмотреть заявл. о мотив.  определении"". В результате данного ТП судья рассматривает заявление о подготовке мотивированного определения"
97,Заявитель (участник третейского разбирательства),"","",Получено уведомление о мотивированном определении,—,Заявитель (участник третейского разбирательства) получает уведомление о мотивированном определении
98,Заявитель (участник третейского разбирательства),"","",Ознакомиться,—,Заявитель (участник третейского разбирательства) знакомится с уведомлением о мотивированном определении
99,Заявитель (участник третейского разбирательства),"","",Завершение процесса,—,Завершение процесса
100,Иные ЛУВД (участники третейского разбирательства),"","",Получено уведомление о мотивированном определении,—,Иные ЛУВД (участники третейского разбирательства) получает уведомление о мотивированном определении
101,Иные ЛУВД (участники третейского разбирательства),"","",Ознакомиться,—,Иные ЛУВД (участники третейского разбирательства) знакомится с уведомлением о мотивированном определении
102,Иные ЛУВД (участники третейского разбирательства),"","",Завершение процесса,—,Завершение процесса
103,Судья,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 104"
104,Судья,—,—,6 месяцев с даты вступления в законную силу СА,—,Судья ожидает 6 месяцев с даты вступления в законную силу СА
105,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения",Возможна автоматизация передачи дела в архив
106,Судья,"","",Дело завершено передано в архив,"",Дело завершено передано в архив
