№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,Система,Документы дело/материалы дела,Вывод системы,Проверить исключительную компетенцию суда в РФ,-,"Согласно п. 3 ч. 1 ст. 244 АПК РФ, Арбитражный суд отказывает в признании и приведении в исполнение решения иностранного суда полностью или в части в случае, если рассмотрение дела в соответствии с международным договором Российской Федерации или федеральным законом относится к исключительной компетенции суда в РФ. Система арбитражного суда проверяет, относится ли дело к исключительной компетенции суда в Российской Федерации."
11,Судья,Вывод системы из шага 10,-,Дело относится к исключительной компетенции суда в РФ?. Эксклюзивный открывающий шлюз,-,"Если да, то переход к шагу 12. Если нет, то переход к шагу 15"
12,Судья,-,-,"Дело относится к перечню исключений, указанных в ч. 5 ст. 248.1 АПК РФ?. Эксклюзивный открывающий шлюз",-,"Исключением из статьи, относящейся к компетенции, является перечень положений, указанных в ч. 1 ст. 248.1 АПК РФ. Судья арбитражного суда проверяет, относится ли дело к перечню исключений, указанных в части 5 статьи 248.1 АПК РФ. Судья проверяет отношение дела к перечню исключений. Если да, то переход к шагу 13. Если нет, то переход к шагу 14"
13,Система,Документы дело/материалы дела,Вывод системы,Указать основания для удовлетворения требования о признании,-,"Система устанавливает основания для удовлетворения требования о признании иностранного решения ввиду того, что оно относится к перечню исключений, указанных в ст. 248.1 АПК РФ"
14,Система,Документы дело/материалы дела,Вывод системы,Указать основания для отказа в признании,-,Система устанавливает основания для отказа в признании иностранного решения в связи с исключительной компетенцией суда в РФ
15,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 11-го, 13-го, 14-го шага"
16,Судья,-,-,Проверить тождественность,-,"Переход к типовому процессу «Проверить тождественность». Согласно п. 3 ч. 1 ст. 244 АПК РФ? Арбитражный суд отказывает в признании и приведении в исполнение решения иностранного суда полностью или в части в случае, если имеется вступившее в законную силу решение суда в Российской Федерации, принятое по спору между теми же лицами, о том же предмете и по тем же основаниям В рамках типового процесса судья осуществляет проверку тождественности дел путем сопоставления лиц, предмета и оснований."
17,Судья,-,-,Найдено тождественное дело?. Эксклюзивный открывающий шлюз,-,"Судья устанавливает, найдено ли тождественное дело. Если да, то переход к шагу 18. Если нет, то переход к шагу 23"
18,Судья,-,-,Дело находится на стадии рассмотрения?. Эксклюзивный открывающий шлюз,-,"Согласно п. 5 ч. 1 ст. 244 АПК РФ, Арбитражный суд отказывает в признании и приведении в исполнение решения иностранного суда полностью или в части в случае, если на рассмотрении суда в Российской Федерации находится дело по спору между теми же лицами, о том же предмете и по тем же основаниям, производство по которому возбуждено до возбуждения производства по делу в иностранном суде, или суд в Российской Федерации первым принял к своему производству заявление по спору между теми же лицами, о том же предмете и по тем же основаниям. Судья проверяет, находится ли тождественное дело на стадии рассмотрения для осуществления следующих проверок в рамках данного пункта. Если да, то переход к шагу 19. Если нет, то переход к шагу 20"
19,Судья,-,-,Производство по делу возбуждено до возбуждения производства по делу в иностранном суде/суд в РФ первым принял к своему производству заявление по такому делу?. Эксклюзивный открывающий шлюз,-,"Судья проверяет, было ли производство по делу возбуждено в РФ до возбуждения производства по делу в иностранном суде или суд в РФ первым принял к своему производству заявление по такому делу. Если да, то переход к шагу 20. Если нет, то переход к шагу 22"
20,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 18-го, 19-го шага"
21,Система,Документы дело/материалы дела,Вывод системы,Указать основания для отказа в признании,-,Судья устанавливает основания для отказа в признании иностранного решения в связи с приоритетом производства в РФ.
22,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 19-го, 21-го шага"
23,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 17-го, 22-го шага"
24,Судья,-,-,Проверить срок,-,"Переход к типовому процессу «Проверить срок». Судья проверяет срок давности приведения решения иностранного суда к принудительному исполнению для проведения проверки на основании п. 6 ч. 1 ст. 244 АПК РФ (Арбитражный суд отказывает в признании и приведении в исполнение решения иностранного суда полностью или в части в случае, если истек срок давности приведения решения иностранного суда к принудительному исполнению и этот срок не восстановлен арбитражным судом)."
25,Судья,-,-,Срок давности приведения решения иностранного суда к принудительному исполнению истек?. Эксклюзивный открывающий шлюз,-,"Судья определяет, истек ли срок давности приведения решения иностранного суда к принудительному исполнению. истек срок давности приведения решения иностранного суда к принудительному исполнению и этот срок не восстановлен арбитражным судом Согласно ст. 246 АПК РФ, решение иностранного суда или иностранное арбитражное решение может быть предъявлено к принудительному исполнению в срок, не превышающий трех лет со дня вступления его в законную силу. Если да, то переход к шагу 26. Если нет, то переход к шагу 29"
26,Судья,-,-,Срок был восстановлен арбитражным судом?. Эксклюзивный открывающий шлюз,-,"Пропущенный срок может быть восстановлен он арбитражным судом по ходатайству взыскателя по правилам, предусмотренным главой 10 АПК РФ (ч. 2 ст. 246 АПК РФ). Судья устанавливает , был ли срок давности восстановлен арбитражным судом. Если да, то переход к шагу 28. Если нет, то переход к шагу 27"
27,Система,Документы дело/материалы дела,Вывод системы,Указать основания для отказа в признании,-,Система устанавливает основания для отказа в признании иностранного решения в связи с истечением срока давности принудительного исполнения.
28,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 26-го, 27-го шага"
29,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 25-го, 28-го шага"
30,Судья,-,-,Проверить противоречие исполнения решения публичному порядку РФ,-,"Согласно п. 7 ч. 1 ст. 244 АПК РФ, арбитражный суд отказывает в признании и приведении в исполнение решения иностранного суда полностью или в части в случае, если исполнение решения иностранного суда противоречило бы публичному порядку РФ. Судья проверяет, противоречит ли исполнение решения публичному порядку Российской Федерации."
31,Судья,-,-,Противоречие выявлено?. Эксклюзивный открывающий шлюз,-,"Судья устанавливает, выявлено ли противоречие исполнения решения публичному порядку РФ. Если да, то переход к шагу 32. Если нет, то переход к шагу 33"
32,Система,Документы дело/материалы дела,Вывод системы,Указать основания для отказа в признании,-,Система устанавливает основания для отказа в признании иностранного решения в связи с противоречием публичному порядку РФ
33,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 31-го, 32-го шага"
34,Система,Документы дело/материалы дела,Вывод системы,Проверить дееспособность сторон арбитражного соглашения,-,"Система проверяет дееспособность сторон арбитражного заключения в соответствии со ст. 233 АПК РФ и с п. 47 Постановления Пленума Верховного Суда РФ от 10.12.2019 N 53 ""О выполнении судами Российской Федерации функций содействия и контроля в отношении третейского разбирательства, международного коммерческого арбитража"" (Далее - «Постановления»): суд может отменить решение третейского суда, международного коммерческого арбитража, принятого на территории Российской Федерации, а также отказать в выдаче исполнительного листа на принудительное исполнение решения третейского суда, если сторона третейского разбирательства, против которой вынесено решение третейского суда, представит доказательства того, что одна из сторон третейского соглашения, на основании которого спор был разрешен третейским судом, не обладала полной дееспособностью. Судья приходит к выводу об отказе в признании, если одна из сторон арбитражного соглашения, на основании которого был разрешен спор судом, не обладала дееспособностью."
35,Система,Документы дело/материалы дела,Вывод системы,Проверить соответствие арбитражного соглашения праву,-,"Система проверяет соответствие арбитражного соглашения праву, которому стороны его подчинили. Согласно п. 2 ч. 3 ст. 233 АПК РФ, решение третейского суда может быть отменено арбитражным судом в случае, если сторона, подающая заявление об отмене такого решения, представит доказательства того, что третейское соглашение, на основании которого спор был разрешен третейским судом, недействительно по праву, которому стороны его подчинили, а при отсутствии такого указания - по праву Российской Федерации."
36,Система,Документы дело/материалы дела,Вывод системы,Проверить уведомление проигравшей стороны,-,"Согласно п. 5 ч. 3 ст. 233 АПК РФ, решение третейского суда может быть отменено арбитражным судом в случае, если сторона, против которой принято решение третейского суда, не была должным образом уведомлена об избрании (назначении) третейских судей или о времени и месте заседания третейского суда либо по другим уважительным причинам не могла представить в третейский суд свои объяснения. Система проверяет уведомление проигравшей стороны."
37,Система,Документы дело/материалы дела,Вывод системы,Проверить соответствие спора арбитражному соглашению,-,"Согласно п. 3 ч. 3 ст. 233 АПК РФ, решение третейского суда может быть отменено арбитражным судом в случае, если решение третейского суда вынесено по спору, не предусмотренному третейским соглашением или не подпадающему под его условия, или содержит постановления по вопросам, выходящим за пределы третейского соглашения. Если постановления третейского суда по вопросам, которые охватываются третейским соглашением, могут быть отделены от постановлений по вопросам, которые не охватываются таким соглашением, может быть отменена только та часть решения, которая содержит постановления по вопросам, не охватываемым третейским соглашением. Система проверяет соответствие спора арбитражному соглашению."
38,Судья,-,-,"Выявлено, что решение не предусмотрено арбитражным соглашением/не подпадает под его условия/содержит вопросы, выходящие за пределы арбитражного соглашения?. Эксклюзивный открывающий шлюз",-,"Судья устанавливает, выявлено ли, что решение не предусмотрено арбитражным соглашением, не подпадает под его условия или содержит вопросы, выходящие за пределы арбитражного соглашения. Если да, то переход к шагу 39. Если нет, то переход к шагу 43"
39,Судья,-,-,"Есть постановление по вопросам, охватываемым арбитражным соглашением, которые могут быть отделены?. Эксклюзивный открывающий шлюз",-,"Судья проверяет, есть ли постановление по вопросам, охватываемым арбитражным соглашением, которые могут быть отделены в соответствии со ст. 233 АПК РФ. Если да, то переход к шагу 40. Если нет, то переход к шагу 42"
40,Система,Документы дело/материалы дела,Вывод системы,Указать на возможность признания части решения,-,"Система устанавливает возможность признания части решения, в которой содержатся постановления по вопросам, охватываемым арбитражным соглашением"
41,Система,Документы дело/материалы дела,Вывод системы,Отказать в признании несоответствующей части,-,Система арбитражного суда отказывает в признании несоответствующей части решения.
42,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 39-го, 41-го шага"
43,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 38-го, 42-го шага"
44,Система,Документы дело/материалы дела,Вывод системы,Проверить состав суда,-,"Согласно п. 4 ч. 3 ст. 233 АПК РФ, решение третейского суда может быть отменено арбитражным судом лишь в случае, если состав третейского суда или процедура арбитража не соответствовали соглашению сторон или федеральному закону. Система проверяет состав суда или процедуру арбитража на соответствие соглашению сторон или федеральному закону"
45,Система,Документы дело/материалы дела,Вывод системы,Проверить процедуру арбитража,-,Система проверяет процедуру арбитража на соответствие соглашению сторон или федеральному закону
46,Система,Документы дело/материалы дела,Вывод системы,Проверить действительность решения иностранного гос-ва,-,"Система арбитражного суда проверяет действительность решения иностранного государства. Судья приходит к выводу об отказе в признании, если решение, принятое на территории иностранного государства, еще не стало обязательным для сторон международного третейского разбирательства либо было отменено или приостановлено исполнение компетентной властью страны, где оно было вынесено, или страны, закон которой применяется."
47,Судья,-,-,Параллельный закрывающий шлюз,-,"Параллельный закрывающий шлюз, объединяющий потоки из 15-го, 23-го, 29-го, 33-го, 34-го, 35-го, 36-го, 43-го, 44-го, 45-го, 46-го шага"
48,Судья,-,-,Эксклюзивный закрывающий шлюз,-,"Эксклюзивный закрывающий шлюз, объединяющий потоки из 8-го, 47-го шага"
49,Судья,-,-,Параллельный закрывающий шлюз,-,"Параллельный закрывающий шлюз, объединяющий потоки из 6-го, 7-го, 48-го шага"
50,Судья,-,-,Выявлены основания для отказа в признании иностранного решения?. Эксклюзивный открывающий шлюз,-,"Судья арбитражного суда проверяет, выявлены ли основания для отказа в признании иностранного решения на основании проведенных проверок. Если да, то переход к шагу 53. Если нет, то переход к шагу 51"
51,Система,Документы дело/материалы дела,Вывод системы,Сохранить основания для удовлетворения требований о признании,-,"Система арбитражного суда устанавливает основания для удовлетворения требований о признании иностранного решения. Суд принимает определение. Ч. 2 ст. 245 АПК РФ: в определении по делу о признании и приведении в исполнение решения иностранного суда и иностранного арбитражного решения должны содержаться: 1) наименование и место нахождения иностранного суда либо наименование и состав третейского суда или международного коммерческого арбитража, принявших решение; 2) наименования взыскателя и должника; 3) сведения о решении иностранного суда или об иностранном арбитражном решении, о признании и приведении в исполнение которого ходатайствовал взыскатель; 4) указание на признание и приведение в исполнение решения иностранного суда или иностранного арбитражного решения либо на отказ в признании и приведении в исполнение решения иностранного суда или иностранного арбитражного решения."
52,Судья,-,-,Признание иностранного решения подлежит удовлетворениюЗавершение процесса,-,Признание иностранного решения подлежит удовлетворениюЗавершение процесса
53,Система,Документы дело/материалы дела,Вывод системы,Сохранить основания для отказа в удовлетворении требований о признании,-,Система арбитражного суда устанавливает основания для отказа в удовлетворении требований о признании иностранного решения.
54,Судья,-,-,Признание иностранного решения не подлежит удовлетворениюЗавершение процесса,-,Судья арбитражного суда устанавливает основания для признания иностранного решения не подлежит удовлетворению. 
