№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,Судья,—,—,Выбрать Ненадлежащее извещение лица,—,"Основание - ненадлежащее извещение лица. Лицо доказало, что не получило, и, как следствие, не было ознакомлено с судебным актом, что напрямую препятствует началу течения процессуального срока."
11,Судья,—,—,Выбрать Незаконные действия иных лиц,—,"Основание - незаконные действия иных лиц, которые привели к невозможности совершения процессуального действия в установленный срок."
12,Судья,—,—,Выбрать Объективные причины несовершения действия в срок,—,"Основание - Объективные причины несовершения действия в срок, на которые лицо не могло повлиять. Любые причины/внешние факторы, принятые судом как объективные и обоснованные, которые препятствовали осуществлению лица действия в срок."
13,Судья,—,—,Указать Иные причины,—,"Основание — иные причины, установленные законом.Система аналитики судебной практики"
14,Судья,—,—,Включающий шлюз,—,Закрывающий включающий шлюз
15,Система,Выбор судьи из шагов 9-13,Рекомендация для судьи на основании выбора и доказательств ,Сформировать рекомендации на основе выбора и доказательств,—,OCR+LLM система формирует рекомендацию и создает событие с уведомлением пользователя.
16,Система,Рекомендация системы,Сохранение данных в системе,Сохранить в системе для использования в СА,—,Система сохраняет данные для использования в шаблонах документов
17,Судья,—,Вывод об уважительности причин,Сделать вывод об уважительности причин для восстановления/продления,—,Судья делает вывод об уважительности причин пропуска процессуального срока на основе анализа всех представленных обстоятельств.Решение об уважительности принимается на усмотрение судьи по итогам всестороннего анализа всех обстоятельств и доказательств. Судья использует систему поддержки принятия решений с анализом судебной практики.
18,Судья,—,—,Причины для восстановления/продления признаны судом уважительными?Эксклюзивный шлюз,—,"Автоматическая поддержка решений на основе судебной практикиЕсли «Да» - переход к шагу 21, если «Нет» - переход к шагу 16"
19,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
20,Судья,—,—,Необходимо принять отдельный СА?Эксклюзивный шлюз,—,"Судья определяет необходимость принятия отдельного судебного акта об отказе в продлении/восстановлении срока либо об указании об отказе в основном СА, которым заканчивается рассмотрение по делу.Автоматическое определение формы судебного актаЕсли «Да» - переход к шагу 23, если «Нет» - переход к шагу 21"
21,Система,—,Сохранение данных в системе,Сохранить отсутствуют основания для удовлетворения,—,Сохранение данных в системе для использования информации в шаблонах документов
22,Судья,—,—,Об отказе в восстановлении/продлении срока будет указано в ином САЗавершение процесса.,—,Завершение процесса. Об отказе в восстановлении/продлении срока будет указано в ином СА
23,Судья,Зафиксированный факт отсутствия оснований,Определение об отказе в продлении/восстановлении процессуального срока,ТБП80.Принять СА,—,"Переход к типовому процессу «Принять СА», в рамках которого судья принимает и подписывает определение об отказе в продлении/восстановлении процессуального срока. В определении указываются основания, по которым суд пришел к выводу об отказе в удовлетворении ходатайства.Автоматическая генерация проектов определений"
24,Судья,—,—,Необходимо принять отдельный СА?Эксклюзивный шлюз,—,"Судья определяет необходимость принятия отдельного судебного акта об отказе в продлении/восстановлении срока либо об указании об отказе в основном СА, которым заканчивается рассмотрение по делу.Автоматическое определение формы судебного актаЕсли «Да» - переход к шагу 20, если «Нет» - переход к шагу 18"
25,Система,—,Сохранение данных в системе,Сохранить основания для восстановления/продления срока,"",Сохранение данных в системе для использования информации в шаблонах документов
26,Судья,—,—,О восстановлении/продлении срока будет указано в ином САЗавершение процесса,—,Завершение процесса. О восстановлении/продлении срока будет указано в ином СА
27,Судья,Зафиксированный факт отсутствия оснований,Определение об отказе в продлении/восстановлении процессуального срока,ТБП80.Принять СА,—,"Переход к типовому процессу «Принять СА», в рамках которого судья принимает и подписывает определение об отказе в продлении/восстановлении процессуального срока. В определении указываются основания, по которым суд пришел к выводу об отказе в удовлетворении ходатайства.Автоматическая генерация проектов определений"
28,Судья,—,—,Эксклюзивный шлюз,—,Закрывающий эксклюзивный шлюз
29,Канцелярия,—,Определение суда,ТБП46.Направить документ,1 день после вынесения определения,"Переход к типовому процессу «Направить документ», в рамках которого канцелярия в течение одного дня направляет определение лицам. Автоматическая рассылка электронных документов"
30,Судья,—,—,Судебные акты отправлены.,"",Процесс завершен. Определение направлено заявителю
31,Заявитель,Определение суда,—,Получено определение,—,Автоматическое уведомление о поступлении документаЗаявитель получает определение суда по вопросу восстановления или продления процессуального срока.
32,Система,Входящие документы,Уведомление пользователя,Уведомить заявителя,—,Система уведомляет пользователя о поступлении и записывает данные о дате и времени доставки
33,Заявитель,Определение суда,—,Ознакомиться,—,Заявитель изучает содержание определения суда в электронном виде.
34,Система,данные о дате и времени получения и прочтения,Отправка данных в систему арбитражного суда,Отправить данные о получении и прочтении,—,Система отправляет данные о дате и времени получения и прочтения в ИС арбитражного суда для сохранения и запуска расчета процессуальных сроков
35,Заявитель,—,—,Есть основания для обжалования?,—,"Заявитель принимает решение о наличии оснований для обжалования определения.Если «Да» - переход к шагу 36, если «Нет» - переход к шагу 37"
36,Заявитель,—,—,Переход к процессу апелляционного обжалования,—,Заявитель инициирует процедуру апелляционного обжалования определения суда.
37,Заявитель,—,—,Процесс завершён. Оснований для обжалования нет,"",Процесс завершён. Оснований для обжалования нет
