№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
38,Канцелярия суда,—,—,Эксклюзивный шлюз,—,Если да то переход к шагу 39 процесса. Если нет то переход к шагу 39 процесса.
39,Система,—,Заполненные поля,Заполнить обязательные поля для регистрации,—,Система автоматически заполняет обязательные поля для регистрации нового документа
40,Система,—,Электронная карточка документа,Создать карточку документа,—,Система автоматически создает карточку документа со всеми внесенными ранее данными
41,Канцелярия суда,—,—,Обособленный спор?Эксклюзивный шлюз,—,"Если документ относится к обособленному спору, то «Да» - переход к шагу 42, Если «Нет» - переход к шагу 43"
42,Система,—,Номер обособленного спора,Присвоить номер обособленного спора,—,Система автоматически присваивает номер обособленному спору в соответствии с номенклатурой
43,Канцелярия суда,—,—,Эксклюзивный шлюз,—,Если да то переход к шагу 44 процесса. Если нет то переход к шагу 44 процесса.
44,Система,—,—,Поставить задачу на валидацию,—,Система автоматически ставит задачу на валидацию
45,Канцелярия суда,—,—,ТБП139.Проверить выводы системы,—,Канцелярия суда проверяет выводы системы по результатам анализа.
46,Система,—,—,Зарегистрировать дело,—,Система автоматически регистрирует дело в системе
47,Система,—,Штамп электронный,Сформировать штамп,—,"Система автоматически заполняет штамп в материалах дела с указанием номера дела, даты и времени поступления, ФИО сотрудника, регистрировавшего документ"
48,Канцелярия суда,—,—,Дело зарегистрировано,—,Завершение процесса. Документ зарегистрирован
