№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
41,"Заявитель (административный орган, прокурор)","",Ходатайство о рассмотрении дела в свое отсутствие,ТБП7.Подать документы в суд,"Срок не установлен, но должно быть подано до проведения СЗ","Переход к типовому процессу ""Подать документы в суд"", в рамках которого Заявитель (административный орган, прокурор) формирует и направляет ходатайство о рассмотрении дела в свое отсутствие/отсутствие представителя для предупреждения об отсутствии в силу уважительных причинПодача документов в электронном виде через форму подачи документов в суд"
42,"Заявитель (административный орган, прокурор)","",—,Завершение процесса,—,Завершение процесса
43,Отдел делопроизводства,"",Зарегистрированный документ,Поступил документ по делу,"",Автоматизация регистрации и присвоения номера документа
44,Отдел делопроизводства,"",Зарегистрированный документ ,ТБП53.Принять входящий документ,"В день поступления в суд. Документы, поступившие в рабочие дни после 15 часов, могут быть зарегистрированы на следующий рабочий день","Переход к типовому процессу «Принять входящий документ».Автоматические проверки, автоматическое отклонение по техническим основаниям, автоматическая регистрация, задача на валидацию, валидация регистрации сотрудником ОД,формирование связи карточки документа с карточкой дела, задача на судью"
45,Отдел делопроизводства,"","",Входящий документ зарегистрирован,"",Завершение процесса
46,Помощник судьи/Секретарь с/з,Дело/документ,Подготовленные материалы к СЗ,ТБП66.Подготовиться к СЗ,"Четкий срок не установлен. Подготовка дела к судебному разбирательству проводится в срок, определяемый судьей с учетом обстоятельств конкретного дела и необходимости совершения соответствующих процессуальных действий","Переход к Типовому процессу «Подготовиться к СЗ».Автоматические запросы, запросы в другую ИС, отчет о подготовке дела к рассмотрению, задачи на секретаря, помощника судьи, возможность проведения собеседования, формирование проекта СА, аудио протоколирование, транскибация собеседования"
47,Судья,—,"Судебный акт об отложении, протокол СЗ",ТБП68.Провести СЗ,2 месяца со дня поступления в Судья заявления,"Судья проводит судебное заседание по рассмотрению делаПереход к типовому процессу ""Провести СЗ"". В результате данного ТП Судья проводит СЗ для рассмотрения дела по существу. Отложение судебного разбирательства проводится в соответствии с положениями ст. 158 АПК.Согласно ч. 1-4 ст. 205 АПК РФДела о привлечении к административной ответственности лиц, осуществляющих предпринимательскую и иную экономическую деятельность, рассматриваются в судебном заседании судьей единолично в срок, не превышающий двух месяцев со дня поступления в Судья заявления о привлечении к административной ответственности, включая срок на подготовку дела к судебному разбирательству и принятие решения по делу, если иной срок рассмотрения не установлен федеральным законом об административных правонарушениях. Судья может продлить срок рассмотрения дела о привлечении к административной ответственности не более чем на месяц по ходатайству лиц, участвующих в деле, или в случае необходимости в дополнительном выяснении обстоятельств дела. О продлении срока рассмотрения дела Судья выносит определение.Судья извещает о времени и месте судебного заседания лиц, участвующих в деле. Неявка указанных лиц, извещенных надлежащим образом о времени и месте судебного заседания, не является препятствием для рассмотрения дела, если суд не признал их явку обязательной. Судья может признать обязательной явку в судебное заседание представителя административного органа, а также лица, в отношении которого составлен протокол об административном правонарушении, и вызвать их в судебное заседание для дачи объяснений. Неявка указанных лиц, вызванных в судебное заседание, является основанием для наложения штрафа в порядке и в размерах, которые установлены в главе 11 АПК РФ.Аудио протоколирование, транскибация, формирование проекта протокола СЗ, онлайн график СЗ, автоматическая проверка явки, подбор времени и места проведения СЗ при перерыве и отложении, формирование проекта СА об отложении СЗ"
48,Судья,—,—,Возникла необходимость в замене судьи,—,Судья принимает решение о необходимости замены
49,Судья,—,Определение о замене судьи,ТБП28.Заменить судью,—,"Судья принимает решение о замене судьи. Согласно ст 18 АПК в случае замены судьи, арбитражного заседателя в процессе рассмотрения дела судебное разбирательство должно быть произведено с самого начала. "
50,Судья,"","",Замена судьи совершена.,—,Процесс замены судьи завершен
51,Иные ЛУВД (в т.ч.Потерпевший),"",Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,Иные ЛУВД (в т.ч.Потерпевший) принимает решение о подаче заявления об отводе судьи
52,Иные ЛУВД (в т.ч.Потерпевший),"",Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (в т.ч.Потерпевший) формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу.Подача документов в электронном виде через форму подачи документов в суд"
53,Иные ЛУВД (в т.ч.Потерпевший),"",—,Завершение подачи заявления,—,Процесс подачи заявления завершен
54,"Лицо, в отношении которого составлен протокол",—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,"Лицо, в отношении которого составлен протокол принимает решение о подаче заявления об отводе судьи"
55,"Лицо, в отношении которого составлен протокол","",Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Лицо, в отношении которого составлен протокол формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу.Подача документов в электронном виде через форму подачи документов в суд"
56,"Лицо, в отношении которого составлен протокол","",—,Завершение подачи заявления,—,Процесс подачи заявления завершен
57,"Заявитель (административный орган, прокурор)",—,Заявление об отводе судьи,Возникла необходимость в отводе судьи,—,"Заявитель (административный орган, прокурор) принимает решение о подаче заявления об отводе судьи"
58,"Заявитель (административный орган, прокурор)","",Заявление об отводе судьи,ТБП7.Подать документы в суд,до начала рассмотрения дела по существу,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (административный орган, прокурор) формирует и направляет заявление об отводе судьи. Отвод и самоотвод судьи регулируется правилами главы 3 АПК. Самоотвод или отвод должен быть мотивирован и заявлен до начала рассмотрения дела по существу. В ходе рассмотрения дела заявление о самоотводе или об отводе допускается только в случае, если основание самоотвода или отвода стало известно лицу, заявляющему самоотвод или отвод, после начала рассмотрения дела по существу.Подача документов в электронном виде через форму подачи документов в суд"
59,"Заявитель (административный орган, прокурор)","",—,Завершение подачи заявления,—,Процесс подачи заявления завершен
60,Судья,—,—,Возникла необходимость в отводе/самоотводе судьи,—,Судья принимает решение о самоотводе. Основания для отвода/самоотвода судьи регулируются ст. 21 АПК.
61,Судья,—,Определение об отводе/самоотводе,ТБП27.Отвод/самоотвод судьи,—,"Судья рассматривает вопрос об отводе или принимает самоотвод . Согласно ст. 24-26 АПК по итогам заявления отвода/самоотвода в случае единоличного рассмотрения, вопрос решается тем же судьей, в случае коллегиального-большинством голосов при удалении судьи, в отношении которого заявлен отвода/самоотвода. В результате отвода/самоотвода судья в заседании заменяется."
62,Судья,—,—,Отвод/самоотвод совершен,—,Процесс отвода судьи завершен
63,Иные ЛУВД (в т.ч.Потерпевший),—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,Возникла необходимость подать ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Иные ЛУВД (в т.ч.Потерпевший) формирует и подает ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу
64,Иные ЛУВД (в т.ч.Потерпевший),Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,"",ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Иные ЛУВД (в т.ч.Потерпевший) формирует и направляет Ходатайство о приостановлении/оставлении без рассмотрения/прекращении производства по делуПодача документов в электронном виде через форму подачи документов в суд"
65,Иные ЛУВД (в т.ч.Потерпевший),—,—,Переход к шагам о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Переход к рассмотрению соответствующих шагов о о приостановлении/оставлении без рассмотрения/прекращении производства по делу
66,"Лицо, в отношении которого составлен протокол",—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,Возникла необходимость подать ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,"Лицо, в отношении которого составлен протокол формирует и подает ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу"
67,"Лицо, в отношении которого составлен протокол",Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,"",ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Лицо, в отношении которого составлен протокол формирует и направляет Ходатайство о приостановлении/оставлении без рассмотрения/прекращении производства по делуПодача документов в электронном виде через форму подачи документов в суд"
68,"Лицо, в отношении которого составлен протокол",—,—,Переход к шагам о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Переход к рассмотрению соответствующих шагов о о приостановлении/оставлении без рассмотрения/прекращении производства по делу
69,"Заявитель (административный орган, прокурор)",—,Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,Возникла необходимость подать ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,"Заявитель (административный орган, прокурор) формирует и подает ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу"
70,"Заявитель (административный орган, прокурор)",Ходатайство/заявление о приостановлении/оставлении без рассмотрения/прекращении производства по делу,"",ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель (административный орган, прокурор) формирует и направляет Ходатайство о приостановлении/оставлении без рассмотрения/прекращении производства по делуПодача документов в электронном виде через форму подачи документов в суд"
71,"Заявитель (административный орган, прокурор)",—,—,Переход к шагам о приостановлении/оставлении без рассмотрения/прекращении производства по делу,—,Переход к рассмотрению соответствующих шагов о о приостановлении/оставлении без рассмотрения/прекращении производства по делу
72,Судья,—,—,Требуется приостановить производство по делу/заявлению?Эксклюзивный шлюз,—,Судья принимает решение о необходимости приостановления производства по делуДа: переход к шагу 73Нет: переход к шагу 74
73,Судья,"Ходатайство о приостановлении, материалы дела",Определение о приостановлении,ТБП63.Рассмотреть вопрос о приостановлении,—,"Переход к типовому процессу ""Рассмотреть вопрос о приостановлении"". В результате ТП Судья рассматривает ходатайство о приостановлении производства по делу, анализирует представленные материалы и принимает соответствующее процессуальное решениеПриостановление:АС обязан приостановить дела согласно ст 143 АПК в связи со смертью гражданина, утратой дееспособности, невозможности рассмотрения данного дела до разрешения другого дела иным судом, участия гражданина, являющегося стороной в деле, в боевых действияхАС в праве приостановить рассмотрение дела согласно ст 144 АПК в связи с реорганизацией ЮЛ, назначением экспертизы, для выполнения гражданином государственной обязанности, нахождением стороны в лечебном учреждении или длительной служебной командировке, участие ЕИО организации в боевых действияхОставление искового заявления без рассмотрения проводится согласно ст. 148 АПК. Оставление искового заявления без рассмотрения не лишает истца права вновь обратиться в Судья с заявлением в общем порядке после устранения обстоятельств, послуживших основанием для оставления заявления без рассмотренияПрекращение производства проводится согласно ст. 150 АПК. В случае прекращения производства по делу повторное обращение в Судья по спору между теми же лицами, о том же предмете и по тем же основаниям не допускается, за исключением прекращения производства по делу о защите прав и законных интересов группы лиц в порядке, установленном частью 7 статьи 225.15 АПК."
74,Судья,—,—,Эксклюзивный шлюз,—,"Объединение потоков после рассмотрения вопросов о приостановлении, переход к шагу 86"
75,Иные ЛУВД (в т.ч.Потерпевший),"","",Необходимо продлить срок рассмотрения дела,"",У иных ЛУВД (в т.ч.Потерпевший) возникла необходимость продлить срок рассмотрения дела
76,Иные ЛУВД (в т.ч.Потерпевший),"",Ходатайство о продлении срока рассмотрения дела,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Иные ЛУВД (в т.ч.Потерпевший) формируют и подают ходатайство о продлении срока рассмотрения делаПодача документов в электронном виде через форму подачи документов в суд"
77,Иные ЛУВД (в т.ч.Потерпевший),"","",Завершение процесса,"",Завершение процесса
78,"Лицо, в отношении которого составлен протокол","","",Необходимо продлить срок рассмотрения дела,"","У лица, в отношении которого составлен протокол возникла необходимость продлить срок рассмотрения дела"
79,"Лицо, в отношении которого составлен протокол","",Ходатайство о продлении срока рассмотрения дела,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Лицо, в отношении которого составлен протокол формирует и подает ходатайство о продлении срока рассмотрения делаПодача документов в электронном виде через форму подачи документов в суд"
80,"Лицо, в отношении которого составлен протокол","","",Завершение процесса,"",Завершение процесса
81,"Заявитель (административный орган, прокурор)","","",Необходимо продлить срок рассмотрения дела,"","У Заявителя (административный орган, прокурор) возникла необходимость продлить срок рассмотрения дела"
82,"Заявитель (административный орган, прокурор)","",Ходатайство о продлении срока рассмотрения дела,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Заявитель (административный орган, прокурор) формирует и подает ходатайство о продлении срока рассмотрения делаПодача документов в электронном виде через форму подачи документов в суд"
83,"Заявитель (административный орган, прокурор)","","",Завершение процесса,"",Завершение процесса
84,Судья ,"","",Возникла необходимость продления срока рассмотрения,"",Возникла необходимость продления срока рассмотрения
85,Система,"","",Проверить возможность продления срока,"",Система проверяет возможность продления срока
86,Судья,"","",ТБП139.Проверить выводы системы,"","Переход ы типовой процесс ""Проверить выводы системы"""
87,Судья,"","",Рассмотреть вопрос о продлении срока,"",Судья рассматривает вопрос о продлении срока
88, Судья,"","",Суд пришел к продлению срока?Эксклюзивный шлюз,"",Эксклюзивный шлюзДа: переход к шагу 89Нет: переход к шагу 92
89,Судья,"",Определение о продлении срока рассмотрения,ТБП80.Принять СА,"","Переход к типовому процессу ""Принять СА"". Определение о продлении срока рассмотрения"
90,Система ,"","",Продлить срок,Не более 1 месяца,Система продлевает срок 
91,Судья,"","",Завершение процесса,"",Завершение процесса
92,Судья,"","",Вопрос решался по инициативе суда?Эксклюзивный шлюз,"",Эксклюзивный шлюзДа: переход к шагу 93Нет: переход к шагу 94
93,Судья,"","",Завершение процесса,"",Завершение процесса
94,Судья,"",Определение об отказе в удовлетворении ходатайства,ТБП80.Принять СА,"","Переход к типовому процессу ""Принять СА"". Определение об отказе в удовлетворении ходатайства"
95,Судья,"","",Завершение процесса,"",Завершение процесса
96,Судья,"","",Требуется ли объединить дела в одно производство?Эксклюзивный шлюз,"",Определяется требуется ли объединить заявления в одно производствоЭксклюзивный шлюзДа: переход к шагу 97Нет: переход к шагу 100
97,Судья,Заявление об объединении дел в одно производство,Определение об объединении дел в одно производство,ТБП60.Рассмотреть вопрос об объединении дел,—,"Переход к типовому процессу ""Рассмотреть вопрос об объединении дел"". В результате ТП Судья рассматривает целесообразность и основание для объединения нескольких дел в одно производство. Вопрос об объединении дел проводится согласно ст 130 АПК. После объединения дел в одно производство или выделения требований в отдельное производство рассмотрение дела производится с самого начала"
98,Судья,Заявление об объединении дел в одно производство,"",Данное заявление продолжает рассматриваться?Эксклюзивный шлюз,—,Определяется продолжает ли рассматриваться заявлениеДа: переход к шагу 104Нет: переход к шагу 99
99,Судья,—,—,"Производство по делу завершено, в связи с объединением. Требования рассматриваются в объединенном деле.",—,Завершение процесса
100,Судья,"","",Эксклюзивный шлюз,"","Эксклюзивный шлюз, переход к шагу 109"
101,Судья,Заявление об объединении дел в одно производство,—,ТБП61.Рассмотреть вопрос о разъединении дел,—,Определяется требуется ли объединить заявления в одно производствоДа: переход к шагу 101Нет: переход к шагу 104
102,Судья,Заявление об объединении дел в одно производство,Определение об объединении дел в одно производство,Рассмотреть вопрос об объединение дел,—,"Переход к типовому процессу ""Рассмотреть вопрос об объединении дел"". В результате ТП Судья рассматривает целесообразность и основание для объединения нескольких дел в одно производство. Вопрос об объединении дел проводится согласно ст 130 АПК. После объединения дел в одно производство или выделения требований в отдельное производство рассмотрение дела производится с самого начала"
103,Судья,"","",Параллельный шлюз,"","Параллельный шлюз, переход к шагам 102,103"
104,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
105,Судья,"","",Переход из процесса Пересмотр по новым обстоятельства из шага,"",""
106,Судья,"","",Переход из процесса Пересмотр по вновь открывшимся обстоятельствам из шага,"",""
107,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
108,Судья,"","",Создать новое рассмотрение,"","Переход к типовому процессу ""Создать новое рассмотрение"". В результате данного ТП судья создает новое рассмотрение"
109,Судья,"","",Эксклюзивный шлюз,"",Эксклюзивный шлюз
110,"Лицо, в отношении которого составлен протокол","","",Возникла необходимость  ходатайствовать о рассмотрении дела в порядке упрощенного производства,"","У лица, в отношении которого составлен протокол возникла необходимость  ходатайствовать о рассмотрении дела в порядке упрощенного производства. Дело может рассматриваться в порядке упрощенного производства если оно соответствует положениям ст. 227 АПК РФ"
111,"Лицо, в отношении которого составлен протокол","",Ходатайство о рассмотрении дела в порядке упрощенного производства,ТБП7.Подать документы в суд,"","Переход к типовому процессу ""Подать документы в суд"". В результате данного ТП Лицо, в отношении которого составлен протокол подает Ходатайство о рассмотрении дела в порядке упрощенного производстваПодача документов в электронном виде через форму подачи документов в суд"
112,"Лицо, в отношении которого составлен протокол","","",Завершение процесса,"",Завершение процесса
