№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
118,"Административный орган, принявши решение о привлечении к админ.отвественности.","",Заявление о разъяснении решения,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"", в результате данного ТП Административный орган, принявши решение о привлечении к админ.отвественности. подает и формирует заявление о разъяснении в срок до приведения в исполнение решения суда и если не истек срок, в течение которого решение может быть принудительно исполнено в соответствии с ч.2 ст. 179Подача документов в электронном виде через форму подачи документов в суд"
119,Административный орган,—,—,Завершение процесса,—,Завершение процесса
120,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,"",Возникла необходимость в разъяснении решения,—,Заявитель принимает решение о необходимости разъяснения решения
121,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"",Заявление о разъяснении решения,ТБП7.Подать документы в суд,—,"Переход к типовому процессу ""Подать документы в суд"", в результате данного ТП Заявитель подает и формирует заявление о разъяснении в срок до приведения в исполнение решения суда и если не истек срок, в течение которого решение может быть принудительно исполнено в соответствии с ч.2 ст. 179Подача документов в электронном виде через форму подачи документов в суд"
122,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,—,Завершение процесса,—,Процесс подачи заявления завершен
123,Судья,Заявление о разъяснении решения,—,Поступило заявление о разъяснении решения,—,Судья получает заявление о разъяснении решения
124,Судья,—,Определение о разъяснении,ТБП90.Рассмотреть вопрос о разъяснении СА,"","Переход к типовому процессу ""Рассмотреть вопрос о разъяснении СА"" В результате данного ТП Судья рассматривает вопрос о разъяснении судебного акта без проведения судебного заседания и без извещения лиц, участвующих в деле и иных лиц"
125,Судья,—,—,Завершение процесса ,—,Процесс рассмотрения заявления завершен
126,"Административный орган, принявши решение о привлечении к админ.отвественности.","",Основания для исправления опечаток/описок,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
127,"Административный орган, принявши решение о привлечении к админ.отвественности.",Основания для исправления опечаток/описок,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Административный орган формирует заявление об исправлении описок/опечаток и направляет его в судПодача документов в электронном виде через форму подачи документов в суд"
128,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,—,Завершение процесса,—,Процесс подачи заявления завершен
129,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,Основания для исправления опечаток/описок,Возникла необходимость в исправлении описок/опечаток,—,"В случае, если лицо нашло в решении суда опечатку/ошибку, лицо вправе подать соответствующее заявление в суд, вынесший данное решение, с указанием ошибки/опечатки. Такое заявление впоследствии должно быть рассмотрено судом в течение 10-ти дней без проведения СЗ. При этом содержание СА  по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
130,Заявитель (ЮЛ/ИП/Потерпевший/АУ),Основания для исправления опечаток/описок,Заявление об исправлении описок/опечаток,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель формирует заявление об исправлении описок/опечаток и направляет его в судПодача документов в электронном виде через форму подачи документов в суд"
131,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,—,Завершение процесса,—,Процесс подачи заявления завершен
132,Судья,Заявление об исправлении описок/опечаток,—,Поступило заявление об исправлении описок/опечаток,—,Судья получает заявление об исправлении описок
133,Судья,—,Определение об исправлении,ТБП52.Рассмотреть вопрос об исправлении ошибок,10 дней с момента поступления заявления,"Переход к типовому процессу ""Рассмотреть вопрос о разъяснении СА"" В результате данного ТП Судья рассматривает вопрос об исправлении описок/опечаток судебного акта без проведения судебного заседания и без извещения лиц, участвующих в деле и иных лиц. При этом содержание СА по существу, остается неизменным. По результатам рассмотрения заявления выносится определение, которое может быть обжаловано (ст. 179 АПК РФ)"
134,Судья,—,—,Вопрос об исправлении ошибок рассмотрен судом,—,Процесс рассмотрения заявления завершен
135,"Административный орган, принявши решение о привлечении к админ.отвественности.",Основание для вынесения дополнительного решения,"",Возникла необходимость в дополнительном решении,—,"Административный орган принимает решение о необходимости дополнительного решения. Основания для вынесения дополнительного решения выносятся в соответствии с ч1. ст 178 АПК. Вопрос о принятии арбитражным судом дополнительного решения разрешается в судебном заседании. Лица, участвующие в деле, извещаются о времени и месте судебного заседания. Неявка надлежащим образом извещенных лиц не препятствует рассмотрению вопроса о принятии дополнительного решения. В результате рассмотрения выносится Дополнительное решение арбитражного суда и определение арбитражного суда об отказе в принятии дополнительного решения, оба могут быть обжалованы"
136,"Административный орган, принявши решение о привлечении к админ.отвественности.",Основание для вынесения дополнительного решения,Заявление о вынесении дополнительного решения,ТБП7.Подать документы в суд,"","Переход к типовому процессу «Подать документы в суд», в рамках которого Административный орган формирует заявление о вынесении дополнительного решенияПодача документов в электронном виде через форму подачи документов в суд"
137,"Административный орган, принявши решение о привлечении к админ.отвественности.",—,—,Завершение процесса,—,Процесс подачи заявления завершен
138,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,Заявление о вынесении дополнительного решения,Возникла необходимость в дополнительном решении,—,"Заявитель принимает решение о необходимости дополнительного решения. Основания для вынесения дополнительного решения выносятся в соответствии с ч1. ст 178 АПК. Вопрос о принятии арбитражным судом дополнительного решения разрешается в судебном заседании. Лица, участвующие в деле, извещаются о времени и месте судебного заседания. Неявка надлежащим образом извещенных лиц не препятствует рассмотрению вопроса о принятии дополнительного решения. В результате рассмотрения выносится Дополнительное решение арбитражного суда и определение арбитражного суда об отказе в принятии дополнительного решения, оба могут быть обжалованы"
139,Заявитель (ЮЛ/ИП/Потерпевший/АУ),"",Заявление о вынесении дополнительного решения,ТБП7.Подать документы в суд,—,"Переход к типовому процессу «Подать документы в суд», в рамках которого Заявитель формирует заявление о вынесении дополнительного решенияПодача документов в электронном виде через форму подачи документов в суд"
140,Заявитель (ЮЛ/ИП/Потерпевший/АУ),—,—,Завершение процесса,—,Процесс подачи заявления завершен
141,Судья,Заявление о вынесении дополнительного решения,—,Поступило заявление о вынесении дополнительного решения,—,Судья получает заявление о вынесении дополнительного решения
142,Судья,—,Дополнительное решение арбитражного суда/ определение арбитражного суда об отказе в принятии дополнительного решения,ТБП30.Рассмотреть вопрос о дополнительном решении,—,"Переход к типовому процессу ""Рассмотреть вопрос о дополнительном решении"" В результате данного ТП Судья рассматривает вопрос о вынесении дополнительного решения. Вопрос о принятии арбитражным судом дополнительного решения разрешается в судебном заседании. Лица, участвующие в деле, извещаются о времени и месте судебного заседания. Неявка надлежащим образом извещенных лиц не препятствует рассмотрению вопроса о принятии дополнительного решения. В результате рассмотрения выносится Дополнительное решение арбитражного суда и определение арбитражного суда об отказе в принятии дополнительного решения, оба могут быть обжалованы (ст. 178 АПК)"
143,Судья,—,—,Завершение процесса,—,Процесс рассмотрения заявления завершен
144,Судья,Материалы дела,"Материалы дела, подготовленные к сдаче в архив",ТБП89.Передать дело в архив,"","Переход к Типовому процессу ""Передать дело в архив"", результатом ТП является подготовка и передача судьей дела в архив после завершения рассмотрения. Архивировать электронное дело"
145,Судья,—,—,Производство завершено дело передано в архив,—,Завершение процесса
