№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
10,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Информация о служебных и иных зависимостях,Заключение о наличии зависимости,"Проверить, находился/находится в служебной или иной зависимости",Незамедлительно,"Анализ фиксируется в системе арбитражного суда.Проверка нахождения судьи в служебной или иной зависимости от лица, участвующего в деле, или его представителя в соответствии со ст. 21 ""Арбитражного процессуального кодекса Российской Федерации"" от 24.07.2002 N 95-ФЗ"
11,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Информация о публичных высказываниях,Заключение о публичных заявлениях,Проверить наличие публичных заявлений/оценки по существу дела,Незамедлительно,"Анализ фиксируется в системе арбитражного суда.Проверка наличия публичных заявлений или оценок судьи по существу рассматриваемого дела, которые могут поставить под сомнение его беспристрастность"
12,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Информация о составе суда,Заключение о родственных связях в составе суда,"Проверить, не являются ли участники состава суда родственниками",Незамедлительно,Анализ фиксируется в системе арбитражного суда.Проверка отсутствия родственных связей между участниками состава суда при коллегиальном рассмотрении дела
13,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Результаты всех проверок оснований для отвода,—,Параллельный шлюз для координации процессов,Незамедлительно,Анализ фиксируется в системе арбитражного суда.Параллельный шлюз для координации процессов. Сбор результатов всех проведенных проверок для принятия решения
14,Система,Данные проверок,Сформированное событие и уведомление,Сформировать рекомендацию,Незамедлительно,Система формирует рекомендацию и уведомляет пользователя
15,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Событие с рекомендацией,Вывод пользователя,ТБП139.Проверить выводы системы,"","Переход к типовому процессу ""Проверить выводы системы"""
16,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Результаты проверок оснований,—,Необходимо проверить специальные основания? (Эксклюзивный шлюз),Незамедлительно,"Оценка необходимости проверки специальных оснований для отвода экспертов и специалистов.Если ""Да"", то переход к шагу 17 процесса,Если ""Нет"", то переход к шагу 18 процесса."
17,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Информация о проведенных ревизиях и проверках,Заключение о проведенных экспертом ревизиях,"Проверить, проводил ли эксперт ревизию или проверку, материалов",Незамедлительно,"Проверка проведения экспертом ревизии или проверки материалов, которые стали поводом для обращения в арбитражный суд или используются при рассмотрении дела в соответствии со ст. 23 ""Арбитражного процессуального кодекса Российской Федерации"" от 24.07.2002 N 95-ФЗ"
18,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Результаты всех проверок,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 13 процесса. 
19,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Результаты проверок,—,Необходимо запросить пояснения председателя суда? (Эксклюзивный шлюз),Незамедлительно,"Оценка необходимости получения дополнительных пояснений от председателя суда по выявленным обстоятельствам? Если ""Да"", то переход к шагу 20 процесса.Если ""Нет"", то переход к шагу 21 процесса."
20,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Запрос на получение пояснений,Письмо председателя о заинтересованности/отсутствии заинтересованности судьи,ТБП23.Направить запрос в ведомство,3 рабочих дня,Результатом данного типового процесса станет направление запроса председателю суда о наличии или отсутствии заинтересованности судьи с получением письменного ответа.
21,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",—,—,Закрывающий шлюз,—,Закрывающий шлюз для шага 19 процесса.
22,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья",Все материалы проверки,—,Проверки пройдены? (Эксклюзивный шлюз),В день завершения проверки,"Итоговая оценка всех собранных материалов и принятие решения о наличии оснований для отвода.  Председатель суда, заместитель председателя суда, председатель судебного состава, судья решает, пройдены ли проверки, свидетельствующие об отсутствии оснований для отвода?Если ""Да"", то переход к шагу 21 процесса.Если ""Нет"", то переход к шагу 20 процесса."
23,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","Материалы, подтверждающие основания для отвода",Решение об отводе,Установлены основания для отвода. Завершающее событие,В день завершения проверки,"В соответствии со статьями 21-23 ""Арбитражного процессуального кодекса Российской Федерации"" от 24.07.2002 N 95-ФЗ установлены обстоятельства, свидетельствующие о необходимости отвода. Завершение процесса.Автоматическое формирование документов об отводе"
24,"Председатель суда, заместитель председателя суда, председатель судебного состава, судья","Материалы проверки, не содержащие оснований для отвода",Решение об отсутствии оснований для отвода,Не установлено оснований для отвода. Завершающее событие,В день завершения проверки,"Не установлено обстоятельств для отвода, установленных в соответствии с положениями АПК РФ. Завершение процесса.Автоматическое уведомление о результатах проверки"
