№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
11,Отдел делопроизводства,—,Справка о полном или частичном возврате госпошлины,ТБП49.Сформировать и подписать документ,—,"Переход к типовому процессу «Сформировать и подписать документ». Отдел делопроизводства формирует справку о полном или частичном возврате государственной пошлины. Справку подписывает судья. В справке содержатся обстоятельства, являющиеся основанием для полного или частичного возврата излишне уплаченной (взысканной) суммы государственной пошлины. Автоматическая генерация справки по шаблону с ЭП уполномоченного лица"
12,Отдел делопроизводства,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
13,Канцелярия суда,—,Заявление о возврате госпошлины,ТБП46.Направить документ,—,Истец/Заявитель направляет в суд заявление о возврате государственной пошлины с приложением необходимых документов. Электронная подача заявления через личный кабинет с автоматической проверкой комплектности документов
14,Канцелярия суда,Документ направлен,—,Выдана справка о возврате госпошлины.Завершение процесса.,—,Выдана справка о возврате госпошлины.Завершение процесса.
15,Истец/Заявитель,Справка о полном или частичном возврате госпошлины,—,Получена справка,—,Истец/Заявитель получает справку о полном или частичном возврате государственной пошлины от суда
16,Система,Получение документов,Уведомление пользователя,Уведомить пользователя,—,"Система уведомляет пользователя при поступлении документов от суда, и записывает данные о дате и времени доставки."
17,Истец/Заявитель,Справка о полном или частичном возврате госпошлины,—,Ознакомиться,—,Истец/Заявитель ознакомляется с содержанием полученной справки.
18,Система,Дата и время ознакомления,Отправка данных в ИС арбитражного суда,Уведомить о прочтении и доставке,—,Система отправляет данные о дате и времени доставки и прочтения в систему арбитражного суда для фиксации в документе или судебном деле.
19,Истец/Заявитель,—,—,Получена справка о возврате госпошлины.Завершение процесса.,—,Получена справка о возврате госпошлины.Завершение процесса.
20,Канцелярия суда,—,Реестр передачиДело/Заявление,ТБП12.Передать дело/документ судье,—,Переход к типовому процессу «Передать дело/документ судье».Канцелярия суда передает дело и заявление судье для дальнейшего рассмотрения. Автоматическая постановка задачи судье в электронную систему
21,Судья,Реестр передачиДело/Заявление,Решение по заявлению,ТБП15.Рассмотреть вопрос о возвращении документа,—,Переход к типовому процессу «Рассмотреть вопрос о возвращении документа». Судья рассматривает заявление о возврате государственной пошлины на предмет наличия (отсутствия) оснований для возврата в соответствии с требованиями законодательства (ст. 129 АПК РФ).Итогом будет принятие судьей решения о принятии (непринятии) заявления к рассмотрению. Система поддержки принятия решений с анализом аналогичных дел
22,Судья,Решение по заявлению,—,Заявление принято?Эксклюзивный шлюз,—,"Судья принимает процессуальное решение о принятии или отклонении заявления.Если «Да» - переход к шагу 24, если «Нет» - переход к шагу 23"
23,Судья,—,—,"Заявление возвращено лицу, его подавшему.Завершение процесса.",—,"Заявление возвращено лицу, его подавшему.Завершение процесса."
24,Судья,—,Определение о полном или частичном возврате госпошлины (или определение об отказе в удовлетворении заявления),ТБП41.Провести возврат госпошлины,—,"Переход к типовому процессу «Провести возврат госпошлины». Судья принимает решение о возврате государственной пошлины и инициирует процедуру возврата денежных средств.Судья проверяет наличие платежного документа в деле, исключает риск наличия его дублей, рассчитывает госпошлину, подлежащую возврату, и выносит СА - определение о полном или частичном возврате госпошлины или определение об отказе в удовлетворении заявления, в зависимости от решения. Автоматическое формирование поручения на возврат в казначейство"
25,Судья,Возврат госпошлины подтвержден,—,Госпошлина возвращена.Завершение процесса.,—,Госпошлина возвращена.Завершение процесса.
