№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
19,"Лицо/должностное лицо/гос. орган, у которого находится доказательство",—,"",Завершение процесса,—,Завершение процесса
20,"Лицо/должностное лицо/гос. орган, у которого находится доказательство",Определение об истребовании доказательств,—,В определении указано выдать доказательства лицу на руки?Эксклюзивный шлюз,—,"Определяется указано ли в определении выдать доказательства лицу на руки. Согласно ч. 7 ст. 66 Лицо, у которого находится истребуемое судом доказательство, направляет его непосредственно в арбитражный суд. При необходимости по запросу суда истребуемое доказательство может быть выдано на руки лицу, имеющему соответствующий запрос, для представления в судДа: переход к 20Нет: переход к 18"
21,"Лицо/должностное лицо/гос. орган, у которого находится доказательство","",Истребуемые доказательства,ТБП7.Подать документы в суд,—,"Переход к Типовому процессу «Подать документы в суд»В результате этого ТП Лицо/должностное лицо/гос. орган, у которого находится доказательство передает в суд затребованные в определении истребуемые доказательства"
22,"Лицо/должностное лицо/гос. орган, у которого находится доказательство",—,—,Завершение процесса,—,Завершение процесса
23,"Лицо/должностное лицо/гос. орган, у которого находится доказательство","",Истребуемые оказательства,Выдать доказательства на руки ,—,"Лицо/должностное лицо/гос. орган, у которого находится доказательство выдает истребуемые доказательства на руки указанному лицу"
24,"Иные лица, участвующие в деле (ЛУВД)",Истребуемые доказательства,—,Получить доказательства ,—,Иные ЛУВД получают истребуемые доказательства
25,"Иные лица, участвующие в деле (ЛУВД)",Истребуемые доказательства,—,ТБП7.Подать документы в суд,—,Переход к типовому процессу «Подать документы в суд». Иные ЛУВД направляют доказательства в суд. Контроль комплектации и отправки
26,"Иные лица, участвующие в деле (ЛУВД)",—,—,Завершение процесса,—,Завершение процесса
27,Суд ,"",—,Доказательства представлены? Эксклюзивный шлюз,—,Суд определяет представлены ли доказательства. Автоконтроль поступления по реестрамДа: переход к 33Нет: переход к 25
28,Суд,—,—,Уведомить пользователя,—,Суд уведомляет пользователя о статусе предоставления доказательств
29,Суд ,Извещение о невозможности предоставления доказательств,—,Получено извещение о невозможности представить доказательство? Эксклюзивный шлюз,—,Суд определяет получено ли извещение о невозможности представить доказательствоДа: переход к 26Нет: переход к 29
30,Суд ,"",—,Доказательство может быть затребовано у других лиц/органов? Эксклюзивный шлюз,—,"Суд определяет, что доказательство может быть затребовано у других лиц/органов. Подсказки по альтернативным адресатамДа: переход к 28Нет: переход к 27"
31,Суд ,—,—,Завершение процесса,—,Завершение процесса
32,Суд,—,—,Переход к шагу 2 ,—,Переход к шагу 2 для повторного истребования
33,Суд ,"",—,Необходимо наложить судебный штраф? Эксклюзивный шлюз,—,"Определяется, необходимо ли наложить судебный штраф согласно ч. 9 ст. 66 АПК. В случае неисполнения обязанности представить истребуемое судом доказательство по причинам, признанным арбитражным судом неуважительными, либо неизвещения суда о невозможности представления доказательства вообще или в установленный срок на лицо, от которого истребуется доказательство, судом налагается судебный штраф в порядке и в размерах, которые установлены в главе 11 АПК РФ. Подсказки по основаниям судебного штрафаДа: переход к 30Нет: переход к 31"
34,Суд ,"",Определение о наложении судебного штрафа с указанием срока для предоставления доказательств,ТБП16.Наложить судебный штраф,—,"Переход к типовому процессу «Наложить судебный штраф». В результате данного ТП Суд направляет определения о штрафе/сроке. Согласно ч. 10 ст.66 АПК РФ в определении о наложении судебного штрафа устанавливается новый срок, в течение которого должно быть представлено истребуемое доказательство. В случае невыполнения этих требований в срок, указанный в определении о наложении судебного штрафа, арбитражный суд может повторно наложить штраф по правилам, предусмотренным частью 9 настоящей статьи.Наложение судебных штрафов не освобождает лицо, у которого находится истребуемое доказательство, от обязанности его представить в арбитражный суд.Шаблоны определения о судебном штрафе"
35,Суд,"",—,Закрывающий шлюз для шага 33,—,Закрывающий шлюз для шага 33
36,Суд ,—,—,Переход к шагу 7,—,Переход к шагу 7. Автосоздание напоминаний
37,Суд,—,—,Уведомить пользователя,—,Суд уведомляет пользователя о статусе получения доказательств
38,Суд ,"Материалы дела, доказательства",—,ТБП59.Оценить доказательства по делу,—,Суд оценивает представленные доказательства. Переход к типовому процессу «Оценить доказательства по делу»Судья в результате данного типового процесса оценивает поступившие доказательства согласно критериями относимости (ст. 67 АПК РФ) и допустимости (ст. 68 АПК РФ). Автоматический анализ доказательств
39,Суд ,"",—,Необходимо направить сторонам? Эксклюзивный шлюз,—,Суд определяет необходимо ли направить копии доказательства сторонам. Подсказки по перечню адресатовДа: переход к 36Нет: переход к 40
40,Суд ,"",Копии доказательств,ТБП46.Направить документ,не позднее следующего дня после дня вынесения определения,Переход к типовому процессу «Направить документ». В результате данного ТП суд направляет копии доказательств иным ЛУВД. Автоматическое направление документов
41,"Иные лица, участвующие в деле (ЛУВД)",Копии доказательств,—,Получены копии доказательств,—,"Иные лица, участвующие в деле (ЛУВД) получили копий доказательств "
42,"Иные лица, участвующие в деле (ЛУВД)","",—,Ознакомиться в ЛК,—,"Иные лица, участвующие в деле (ЛУВД) знакомятся с копиями доказательств по делу"
43,Система арбитражного суда,—,—,Отправить время ознакомления,"",Система фиксирует время ознакомления с документами
44,"Иные лица, участвующие в деле (ЛУВД)",—,"",Завершение процесса,—,Завершение процесса
45,Суд (судья),Потоки от 35 и 36,—,Закрывающий шлюз для шага 39,—,"Эксклюзивный шлюз для координации потоков, переход к 41"
46,Суд (судья),—,—,Завершение процесса ,—,Завершение процесса
