№ действия,"Роль (актор на конкретном шаге, в т.ч. Система)","Входящие материалы (объект/данные, инициирующие шаги)","Исходящие материалы (объект, являющийся результатом действия)",Наименование шага процесса,Срок (срок и шаг с которого считается срок),Описание процесса (актор и описание)
17,Система,Сдаточная опись,—,Поставить дату приема-передачи дел в сдаточной описи,—,Система ставит дату приема-передачи дел в сдаточной описи
18,Система,—,—,Поставить задачу на подпись,—,Система ставит задачу на подпись
19,Сотрудник архива,—,—,Подписать электронную сдаточную опись,—,Сотрудник архива подписывает электронную сдаточную опись
20,Система,—,—,Закрыть задачу,—,Система закрывает задачу
21,Система,—,—,Изменить статус дела на Архив,—,Система меняет статус дела на Архив
22,Сотрудник архива,—,—,Завершение процесса,—,Завершение процесса
23,Система,Дела с замечаниями,—,Система передает замечания,—,Система передает замечания и тома дел помощнику судьи/секретарю/сотруднику отдела делопроизводства
24,Сотрудник архива,Замечания и тома дел,—,Сотрудником архива были выявлены замечания? Эксклюзивный шлюз,—,"Сотрудник архива проверяет, были ли выявлены замечания.Да: переход к шагу 32,Нет: переход к шагу 30"
25,Система,—,Задача на подпись,Поставить задачу на подпись,—,Система ставит задачу на подпись
26,Сотрудник архива,Сдаточная опись,—,Подписать электронную сдаточную опись,—,Сотрудник архива подписывает сдаточную опись
27,Система,Задача,Закрытая задача,Закрыть задачу,—,Система закрывает задачу
28,Сотрудник архива,—,—,Завершение процесса,—,Завершение процесса
29,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,—,—,Эксклюзивный шлюз,—,Эксклюзивный шлюз
30,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,—,—,Получить замечания,—,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства получает замечания от сотрудника архива
31,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,Замечания,Исправленные дела,Исправить недочеты в оформлении дел,—,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства исправляет недочеты в оформлении дел. Автоматические подсказки по исправлению недочетов
32,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства,—,Исправленные  дела,Передать исправления,—,Помощник судьи/Секретарь/Сотрудник отдела делопроизводства передает исправленные дела сотруднику архива
33,Система,—,—,Уведомить пользователя,—,Система уведомляет пользователя
34,Сотрудник архива,—,—,Переход к шагу 11,—,Сотрудник архива выполняет переход к шагу 11 для повторной проверки
